path_id,position,patent_no,app_year,country,is_internal,title,title_cn,source
1,1,US20040102828A1,2003.0,US,True,Methods and systems employing intracranial electrodes for neurostimulation and/or electroencephalography,使用颅内电极用于神经刺激和/或脑电描记术的方法和系统,incoPat
1,2,US20060015153A1,2005.0,US,True,Systems and methods for enhancing or affecting neural stimulation efficiency and/or efficacy,增强或影响神经刺激效率和/或功效的系统和方法,incoPat
1,3,US20050070971A1,2004.0,US,True,Apparatus and methods for applying neural stimulation to a patient,向患者施加神经刺激的装置和方法,incoPat
1,4,US20050021118A1,2004.0,US,True,Apparatuses and systems for applying electrical stimulation to a patient,向患者施加电刺激的装置和系统,incoPat
1,5,US20050021105A1,2004.0,US,True,Methods and apparatus for effectuating a change in a neural-function of a patient,实现患者神经功能改变的方法和装置,incoPat
1,6,US7024247B2,2003.0,US,True,Systems and methods for reducing the likelihood of inducing collateral neural activity during neural stimulation threshold test procedures,在神经刺激阈值测试过程中降低诱导侧枝神经活性的可能性的系统和方法,incoPat
1,7,US20030130706A1,2002.0,US,True,Methods and apparatus for effectuating a lasting change in a neural-function of a patient,实现患者神经功能持久改变的方法和装置,incoPat
1,8,US20030074032A1,2002.0,US,True,Neural stimulation system and method responsive to collateral neural activity,响应侧支神经活动的神经刺激系统和方法,incoPat
1,9,US20030088274A1,2002.0,US,True,Method and apparatus for electrically stimulating cells implanted in the nervous system,用于电刺激植入神经系统中的细胞的方法和装置,incoPat
2,1,US20060015153A1,2005.0,US,True,Systems and methods for enhancing or affecting neural stimulation efficiency and/or efficacy,增强或影响神经刺激效率和/或功效的系统和方法,incoPat
2,2,US20050021107A1,,US,False,,,
2,3,US20030088274A1,2002.0,US,True,Method and apparatus for electrically stimulating cells implanted in the nervous system,用于电刺激植入神经系统中的细胞的方法和装置,incoPat
2,4,US20040102828A1,2003.0,US,True,Methods and systems employing intracranial electrodes for neurostimulation and/or electroencephalography,使用颅内电极用于神经刺激和/或脑电描记术的方法和系统,incoPat
2,5,US20050075680A1,2004.0,US,True,Methods and systems for intracranial neurostimulation and/or sensing,用于颅内神经刺激和/或感测的方法和系统,incoPat
2,6,US20050021118A1,2004.0,US,True,Apparatuses and systems for applying electrical stimulation to a patient,向患者施加电刺激的装置和系统,incoPat
2,7,US20030074032A1,2002.0,US,True,Neural stimulation system and method responsive to collateral neural activity,响应侧支神经活动的神经刺激系统和方法,incoPat
2,8,US20050021105A1,2004.0,US,True,Methods and apparatus for effectuating a change in a neural-function of a patient,实现患者神经功能改变的方法和装置,incoPat
2,9,US20040111127A1,,US,False,,,
3,1,US20030097161A1,2002.0,US,True,Methods and apparatus for effectuating a lasting change in a neural-function of a patient,实现患者神经功能持久改变的方法和装置,incoPat
3,2,US20060015153A1,2005.0,US,True,Systems and methods for enhancing or affecting neural stimulation efficiency and/or efficacy,增强或影响神经刺激效率和/或功效的系统和方法,incoPat
3,3,US20050004620A1,,US,False,,,
3,4,US20040102828A1,2003.0,US,True,Methods and systems employing intracranial electrodes for neurostimulation and/or electroencephalography,使用颅内电极用于神经刺激和/或脑电描记术的方法和系统,incoPat
3,5,US20050021105A1,2004.0,US,True,Methods and apparatus for effectuating a change in a neural-function of a patient,实现患者神经功能改变的方法和装置,incoPat
3,6,US20030074032A1,2002.0,US,True,Neural stimulation system and method responsive to collateral neural activity,响应侧支神经活动的神经刺激系统和方法,incoPat
3,7,US20050021118A1,2004.0,US,True,Apparatuses and systems for applying electrical stimulation to a patient,向患者施加电刺激的装置和系统,incoPat
3,8,US20040088024A1,,US,False,,,
3,9,US20050075680A1,2004.0,US,True,Methods and systems for intracranial neurostimulation and/or sensing,用于颅内神经刺激和/或感测的方法和系统,incoPat
