path_id,source,target,source_year,target_year,source_country,target_country,spc_weight,splc_weight,edge_position
1,US10349898B2,US6317627B1,,1999.0,US,US,9.155e-05,0.0,0
1,US6317627B1,US6230049B1,1999.0,1999.0,US,US,0.06682758,1.27e-06,1
1,US6230049B1,US6016449A,1999.0,1997.0,US,US,0.02451216,2.06e-06,2
1,US6016449A,US5626627A,1997.0,1995.0,US,US,0.02837387,4.38e-06,3
1,US5626627A,US5269302A,1995.0,1992.0,US,US,0.01780345,8.14e-06,4
1,US5269302A,US4878498A,1992.0,1989.0,US,US,0.04757904,2.226e-05,5
1,US4878498A,US4744029A,1989.0,,US,US,0.12400699,6.055e-05,6
1,US4744029A,US4579125A,,1984.0,US,US,0.03213411,0.00012504,7
1,US4579125A,US4493327A,1984.0,1982.0,US,US,0.07957724,0.00037714,8
1,US4493327A,US4408616A,1982.0,1981.0,US,US,0.13454912,0.0009409,9
1,US4408616A,US4201224A,1981.0,1978.0,US,US,0.09612693,0.00184859,10
1,US4201224A,US4092981A,1978.0,1976.0,US,US,0.08649491,0.00393159,11
1,US4092981A,US3978847A,1976.0,1974.0,US,US,0.06136788,0.00511399,12
1,US3978847A,US3753433A,1974.0,1971.0,US,US,0.03280839,0.00546806,13
1,US3753433A,US3565058A,1971.0,,US,US,0.01610658,0.01610658,14
2,US7305370B2,US6549804B1,,1999.0,US,US,0.00048304,0.0,0
2,US6549804B1,US6304775B1,1999.0,1999.0,US,US,0.05787562,3.9e-07,1
2,US6304775B1,US5743860A,1999.0,1996.0,US,US,0.03299301,6.4e-07,2
2,US5743860A,US5626145A,1996.0,1996.0,US,US,0.04353777,1.78e-06,3
2,US5626145A,US5311876A,1996.0,1992.0,US,US,0.01898905,3.32e-06,4
2,US5311876A,US4878498A,1992.0,1989.0,US,US,0.03573113,1.672e-05,5
2,US4878498A,US4744029A,1989.0,,US,US,0.12400699,6.055e-05,6
2,US4744029A,US4610259A,,1983.0,US,US,0.09952823,0.00012504,7
2,US4610259A,US4493327A,1983.0,1982.0,US,US,0.0719213,0.00034086,8
2,US4493327A,US4275744A,1982.0,1979.0,US,US,0.04892695,0.0009409,9
2,US4275744A,US4083365A,1979.0,1976.0,US,US,0.02929716,0.00108508,10
2,US4083365A,US3893450A,1976.0,1973.0,US,US,0.01621366,0.00115812,11
2,US3893450A,US3696808A,1973.0,1970.0,US,US,0.1049686,0.0095426,12
2,US3696808A,US3222598A,1970.0,,US,US,0.02495107,0.02495107,13
3,US20060265025A1,US6549804B1,,1999.0,US,US,0.00048304,0.0,0
3,US6549804B1,US6230049B1,1999.0,1999.0,US,US,0.02051849,3.9e-07,1
3,US6230049B1,US5857978A,1999.0,1996.0,US,US,0.05046828,2.06e-06,2
3,US5857978A,US5311876A,1996.0,1992.0,US,US,0.01651222,2.89e-06,3
3,US5311876A,US4873981A,1992.0,1988.0,US,US,0.03579801,1.672e-05,4
3,US4873981A,US4744029A,1988.0,,US,US,0.08897385,4.344e-05,5
3,US4744029A,US4550736A,,1984.0,US,US,0.01300369,0.00012504,6
3,US4550736A,US4417592A,1984.0,1981.0,US,US,0.01712501,0.00016466,7
3,US4417592A,US4201224A,1981.0,1978.0,US,US,0.02867094,0.00055136,8
3,US4201224A,US3901215A,1978.0,1973.0,US,US,0.05897381,0.00393159,9
3,US3901215A,US3696808A,1973.0,1970.0,US,US,0.1100451,0.0100041,10
3,US3696808A,US3413546A,1970.0,,US,US,0.02495107,0.02495107,11
4,US6978183B2,US6304775B1,,1999.0,US,US,0.00020096,0.0,0
4,US6304775B1,US5815413A,1999.0,,US,US,0.0315319,6.4e-07,1
4,US5815413A,US5626145A,,1996.0,US,US,0.0252651,1.03e-06,2
4,US5626145A,US5392788A,1996.0,1993.0,US,US,0.05494542,3.32e-06,3
4,US5392788A,US4987903A,1993.0,1988.0,US,US,0.01847612,9.91e-06,4
4,US4987903A,US4794533A,1988.0,,US,US,0.04543887,3.271e-05,5
4,US4794533A,US4610259A,,1983.0,US,US,0.06260257,7.865e-05,6
4,US4610259A,US4201224A,1983.0,1978.0,US,US,0.01772468,0.00034086,7
4,US4201224A,US3893450A,1978.0,1973.0,US,US,0.05504222,0.00393159,8
4,US3893450A,US3696808A,1973.0,1970.0,US,US,0.1049686,0.0095426,9
4,US3696808A,US3123768A,1970.0,,US,US,0.02495107,0.02495107,10
5,US11026617B2,US6343226B1,,1999.0,US,US,4.91e-05,0.0,0
5,US6343226B1,US6171239B1,1999.0,1998.0,US,US,0.01300135,3.8e-07,1
5,US6171239B1,US5638826A,1998.0,1995.0,US,US,0.01902579,9e-07,2
5,US5638826A,US5474082A,1995.0,1993.0,US,US,0.04383559,2.36e-06,3
5,US5474082A,US5213338A,1993.0,1991.0,US,US,0.02308545,3.89e-06,4
5,US5213338A,US4955388A,1991.0,1987.0,US,US,0.03886018,8.21e-06,5
5,US4955388A,US4744029A,1987.0,,US,US,0.03391703,1.656e-05,6
5,US4744029A,US4610259A,,1983.0,US,US,0.09952823,0.00012504,7
5,US4610259A,US4412547A,1983.0,1981.0,US,US,0.07089873,0.00034086,8
5,US4412547A,US4170225A,1981.0,,US,US,0.01764107,0.00045234,9
5,US4170225A,US3958563A,,1974.0,US,US,0.00866849,0.00045624,10
5,US3958563A,US3841309A,1974.0,1973.0,US,US,0.02443452,0.00271495,11
5,US3841309A,US3174478A,1973.0,,US,US,0.00437956,0.00437956,12
6,US20090172640A1,US6061593A,,1998.0,US,US,6.909e-05,0.0,0
6,US6061593A,US5743860A,1998.0,1996.0,US,US,0.02767824,5.4e-07,1
6,US5743860A,US5392788A,1996.0,1993.0,US,US,0.02947093,1.78e-06,2
6,US5392788A,US5113870A,1993.0,1990.0,US,US,0.01845629,9.91e-06,3
6,US5113870A,US4932416A,1990.0,1987.0,US,US,0.02427727,1.314e-05,4
6,US4932416A,US4610259A,1987.0,1983.0,US,US,0.0177418,2.229e-05,5
6,US4610259A,US4412547A,1983.0,1981.0,US,US,0.07089873,0.00034086,6
6,US4412547A,US4213465A,1981.0,1978.0,US,US,0.01718873,0.00045234,7
6,US4213465A,US4037586A,1978.0,1976.0,US,US,0.03023829,0.00143992,8
6,US4037586A,US3910258A,1976.0,1974.0,US,US,0.03932831,0.00245802,9
