path_id,rank_by_spc,total_spc,total_splc,node_count,internal_nodes,external_nodes,cn_nodes,year_start,year_end,year_span,seed_source,seed_target,seed_spc,stage,signature,node_sequence
1,1,2590111.87508633,0.03310838,13,12,1,0,2008,2010,2008→2010,US20090024475A1,US8655428B2,472600.79747639,relaxed,US20090062681A1→US8392251B2,US20090062681A1 → US20090070798A1 → US20090063256A1 → US20090036755A1 → US20090082643A1 → US20090036756A1 → US20110046502A1 → US20110046503A1 → US20090024475A1 → US8655428B2 → US8484081B2 → US20090030303A1 → US8392251B2
2,2,2428058.39113102,0.03406076,13,10,3,0,2008,2009,2008→2009,US20090024448A1,US20110046503A1,324801.37973655,relaxed,US20090083129A1→US8392255B2,US20090083129A1 → US20090036755A1 → US20090024475A1 → US20090070798A1 → US20090024448A1 → US20110046503A1 → US20110046502A1 → US20090030303A1 → US20090082643A1 → US20090063256A1 → US8386312B2 → US20090036756A1 → US8392255B2
3,3,2298207.03932937,0.03514774,11,11,0,0,2008,2010,2008→2010,US20090082643A1,US20110046503A1,377631.88170745,relaxed,US20090063256A1→US20090030303A1,US20090063256A1 → US20110046503A1 → US20090062681A1 → US20110046502A1 → US20090036756A1 → US20110046504A1 → US20090070798A1 → US20090062629A1 → US20090036755A1 → US20090082643A1 → US20090030303A1
4,4,2175042.09796898,0.03075161,12,11,1,0,2008,2010,2008→2010,US20110046503A1,US8655437B2,350452.45168607,strict,US20090036755A1→US20090030303A1,US20090036755A1 → US20110046502A1 → US20110046504A1 → US20090062681A1 → US20090036756A1 → US20090070798A1 → US20090082643A1 → US20110046503A1 → US8655437B2 → US8484081B2 → US8392251B2 → US20090030303A1
5,5,2080080.77621793,0.03163445,11,10,1,0,2008,2010,2008→2010,US20090024475A1,US8392250B2,330341.32913766,relaxed,US20110046504A1→US8386313B2,US20110046504A1 → US20110046502A1 → US20090062681A1 → US20090062629A1 → US20090070798A1 → US20090024475A1 → US8392250B2 → US20090063256A1 → US20090030303A1 → US20090036756A1 → US8386313B2
6,6,2046215.17037422,0.03639311,12,9,3,0,2008,2009,2008→2009,US20090083129A1,US20110046503A1,322189.46890276,relaxed,US20090024448A1→US20090030303A1,US20090024448A1 → US20090070798A1 → US20090024447A1 → US8386312B2 → US20090036755A1 → US20090024049A1 → US20070055169A1 → US20090036756A1 → US20090083129A1 → US20110046503A1 → US20090062629A1 → US20090030303A1
7,7,1964298.09536447,0.02801973,10,7,3,0,2008,2010,2008→2010,US20090024475A1,US8392251B2,330341.31102614,relaxed,US20090030717A1→US8386313B2,US20090030717A1 → US20090036755A1 → US20090030287A1 → US20090070798A1 → US20090024475A1 → US8392251B2 → US20090036756A1 → US8386312B2 → US20110046503A1 → US8386313B2
8,8,1948317.61647382,0.02761625,9,8,1,0,2008,2009,2008→2009,US20090062629A1,US20110046503A1,357406.60358673,relaxed,US20090063256A1→US8386312B2,US20090063256A1 → US20090036756A1 → US20090082643A1 → US20090070798A1 → US20090030287A1 → US20090036755A1 → US20090062629A1 → US20110046503A1 → US8386312B2
9,9,1946698.43589882,0.02668888,9,9,0,0,2008,2010,2008→2010,US20090070798A1,US20090036756A1,346987.15458923,relaxed,US20110046504A1→US8386312B2,US20110046504A1 → US20090082643A1 → US20090062681A1 → US20110046502A1 → US20090070798A1 → US20090036756A1 → US20090030303A1 → US20110046503A1 → US8386312B2
10,10,1908096.50175512,0.02512742,9,9,0,0,2008,2009,2008→2009,US20090070798A1,US20090030303A1,346628.78904732,relaxed,US20090036756A1→US8386312B2,US20090036756A1 → US20090062629A1 → US20090063256A1 → US20090070798A1 → US20090030303A1 → US8386313B2 → US20110046503A1 → US20090082643A1 → US8386312B2
11,11,1621293.3486434,0.01815996,7,7,0,0,2008,2010,2008→2010,US20090036756A1,US20110046503A1,380085.27419571,strict,US20110046504A1→US20090082643A1,US20110046504A1 → US20090036755A1 → US20090036756A1 → US20110046503A1 → US20090030303A1 → US8392250B2 → US20090082643A1
12,12,1603386.58325158,0.02339992,8,7,1,0,2008,2009,2008→2009,US20090036755A1,US20090036756A1,322447.44282165,relaxed,US20090070798A1→US20090082643A1,US20090070798A1 → US20090030930A1 → US20090036755A1 → US20090024448A1 → US20090036756A1 → US20090063256A1 → US20110046502A1 → US20090082643A1
13,13,1598582.60189225,0.02436408,8,7,1,0,2008,2009,2008→2009,US20090063256A1,US20110046503A1,362711.49519619,relaxed,US20090062629A1→US8386313B2,US20090062629A1 → US20110046503A1 → US20090070798A1 → US20070055169A1 → US20090036755A1 → US20090063256A1 → US20090082643A1 → US8386313B2
14,14,1586470.99714207,0.02382924,9,8,1,0,2008,2010,2008→2010,US20090030287A1,US20110046503A1,324803.55824603,relaxed,US20090063256A1→US8392253B2,US20090063256A1 → US20090062681A1 → US20110046504A1 → US20090062629A1 → US20090036756A1 → US20090030287A1 → US20110046503A1 → US8386313B2 → US8392253B2
15,15,1479570.48763828,0.0179259,6,6,0,0,2008,2010,2008→2010,US20090036755A1,US20110046503A1,380187.8688468,strict,US20090070798A1→US8392251B2,US20090070798A1 → US20090062681A1 → US20090036755A1 → US20110046503A1 → US20090036756A1 → US8392251B2
16,16,1444253.7657151,0.02020286,7,7,0,0,2008,2010,2008→2010,US20090024447A1,US8392250B2,386732.35635686,strict,US20090024049A1→US8635105B2,US20090024049A1 → US20090070798A1 → US20090036755A1 → US20090024447A1 → US8392250B2 → US20110046503A1 → US8635105B2
17,17,1411501.88894313,0.01564744,10,10,0,0,2008,2010,2008→2010,US20110046503A1,US8635105B2,374485.90306178,strict,US20090036756A1→US20090030303A1,US20090036756A1 → US20090062681A1 → US20110046503A1 → US8635105B2 → US8392250B2 → US20110105937A1 → US8655428B2 → US8494905B2 → US8392251B2 → US20090030303A1
18,18,1282610.03488216,0.01937419,7,6,1,0,2008,2010,2008→2010,US20110047121A1,US8392251B2,330154.80594615,strict,US20110046502A1→US20090030303A1,US20110046502A1 → US20090036755A1 → US20110046504A1 → US20090036756A1 → US20110047121A1 → US8392251B2 → US20090030303A1
19,19,1269324.68104159,0.02121145,9,7,2,0,2008,2008,2008→2008,US20090036755A1,US20090030303A1,322114.42169664,relaxed,US20090062681A1→US8386312B2,US20090062681A1 → US20090030287A1 → US20090036756A1 → US20090024447A1 → US20070055169A1 → US8386313B2 → US20090036755A1 → US20090030303A1 → US8386312B2
20,20,1196169.29478317,0.01792644,7,7,0,0,2008,2009,2008→2009,US20090062681A1,US20090036756A1,322170.17636933,relaxed,US20090082643A1→US20090030930A1,US20090082643A1 → US20090062629A1 → US20090062681A1 → US20090036756A1 → US8392254B2 → US20110046503A1 → US20090030930A1
21,21,1153059.8409133,0.01574575,7,6,1,0,2008,2009,2008→2009,US20090030717A1,US20110046503A1,324803.55793731,relaxed,US20090030717A1→US8392253B2,US20090030717A1 → US20090070798A1 → US20110046503A1 → US20090063256A1 → US8386313B2 → US20090036756A1 → US8392253B2
22,22,1035898.29554512,0.01314024,5,5,0,0,2008,2010,2008→2010,US20090036756A1,US8392250B2,386565.57916093,strict,US20090024449A1→US20090030303A1,US20090024449A1 → US20090070798A1 → US20090036756A1 → US8392250B2 → US20090030303A1
23,23,941695.74231852,0.01088782,8,8,0,0,2008,2010,2008→2010,US20110046503A1,US8655428B2,552320.10263111,strict,US20090070798A1→US8392250B2,US20090070798A1 → US20090024049A1 → US20090036755A1 → US20110046503A1 → US8655428B2 → US8533042B2 → US8484081B2 → US8392250B2
24,24,900401.76284167,0.01162979,8,7,1,0,2008,2010,2008→2010,US20090024447A1,US8392251B2,386732.3351536,strict,US20090024447A1→US20090036756A1,US20090024447A1 → US20090070798A1 → US8392251B2 → US20110046503A1 → US8655437B2 → US8494905B2 → US8392250B2 → US20090036756A1
25,25,873287.71324239,0.01236602,7,5,2,0,2008,2010,2008→2010,US20110047121A1,US8392250B2,330154.82404744,relaxed,US20090024448A1→US8494610B2,US20090024448A1 → US20090036755A1 → US20110047121A1 → US8392250B2 → US20090328089A1 → US8655428B2 → US8494610B2
26,26,692914.02299984,0.01059134,4,4,0,0,2008,2009,2008→2009,US20090062681A1,US20110046503A1,379860.95249513,strict,US20110046503A1→US20090082643A1,US20110046503A1 → US20090036755A1 → US20090062681A1 → US20090082643A1
27,27,674451.05442639,0.01057065,5,5,0,0,2008,2010,2008→2010,US20110046504A1,US20110046503A1,379594.38035495,strict,US20090082643A1→US20110046503A1,US20090082643A1 → US20090036755A1 → US20090070798A1 → US20110046504A1 → US20110046503A1
