path_id,rank_by_spc,total_spc,total_splc,node_count,internal_nodes,external_nodes,cn_nodes,year_start,year_end,year_span,seed_source,seed_target,seed_spc,stage,signature,node_sequence
1,1,0.84835982,0.03401056,16,13,3,0,1971,1999,1971→1999,US4493327A,US4408616A,0.13454912,strict,US10349898B2→US3565058A,US10349898B2 → US6317627B1 → US6230049B1 → US6016449A → US5626627A → US5269302A → US4878498A → US4744029A → US4579125A → US4493327A → US4408616A → US4201224A → US4092981A → US3978847A → US3753433A → US3565058A
2,2,0.70942359,0.03822707,15,12,3,0,1970,1999,1970→1999,US4878498A,US4744029A,0.12400699,strict,US7305370B2→US3222598A,US7305370B2 → US6549804B1 → US6304775B1 → US5743860A → US5626145A → US5311876A → US4878498A → US4744029A → US4610259A → US4493327A → US4275744A → US4083365A → US3893450A → US3696808A → US3222598A
3,3,0.46552348,0.03979332,13,10,3,0,1970,1999,1970→1999,US3901215A,US3696808A,0.1100451,strict,US20060265025A1→US3413546A,US20060265025A1 → US6549804B1 → US6230049B1 → US5857978A → US5311876A → US4873981A → US4744029A → US4550736A → US4417592A → US4201224A → US3901215A → US3696808A → US3413546A
4,4,0.4411475,0.03889238,12,8,4,0,1970,1999,1970→1999,US3893450A,US3696808A,0.1049686,strict,US6978183B2→US3123768A,US6978183B2 → US6304775B1 → US5815413A → US5626145A → US5392788A → US4987903A → US4794533A → US4610259A → US4201224A → US3893450A → US3696808A → US3123768A
5,5,0.39732509,0.00850128,14,10,4,0,1973,1999,1973→1999,US4744029A,US4610259A,0.09952823,strict,US11026617B2→US3174478A,US11026617B2 → US6343226B1 → US6171239B1 → US5638826A → US5474082A → US5213338A → US4955388A → US4744029A → US4610259A → US4412547A → US4170225A → US3958563A → US3841309A → US3174478A
6,6,0.30287562,0.02040591,13,11,2,0,1970,1998,1970→1998,US4610259A,US4412547A,0.07089873,strict,US20090172640A1→US3384075A,US20090172640A1 → US6061593A → US5743860A → US5392788A → US5113870A → US4932416A → US4610259A → US4412547A → US4213465A → US4037586A → US3910258A → US3706308A → US3384075A
7,7,0.28581013,0.02864144,13,10,3,0,1971,1999,1971→1999,US4201224A,US4092981A,0.08649491,strict,US9895107B2→US2902030A,US9895107B2 → US6317627B1 → US6067467A → US5320109A → US4974602A → US4736751A → US4649482A → US4498080A → US4201224A → US4092981A → US3890957A → US3760796A → US2902030A
8,8,0.26990614,0.02939811,12,8,4,0,1971,1999,1971→1999,US4794533A,US4610259A,0.06260257,strict,US7787944B2→US3488586A,US7787944B2 → US6549804B1 → US5815413A → US5392788A → US5243517A → US4794533A → US4610259A → US4407299A → US4171696A → US3837331A → US3753433A → US3488586A
9,9,0.25631539,0.00616661,9,7,2,0,1978,1999,1978→1999,US4408616A,US4201224A,0.09612693,strict,US10596367B2→US3809069A,US10596367B2 → US6304775B1 → US5857978A → US5392788A → US4913160A → US4610259A → US4408616A → US4201224A → US3809069A
10,10,0.23561572,0.0231012,11,8,3,0,1971,1999,1971→1999,US6317627B1,US6230049B1,0.06682758,strict,US8423106B2→US3138759A,US8423106B2 → US6317627B1 → US6230049B1 → US5311876A → US5181520A → US4907597A → US4557270A → US4201224A → US4092981A → US3760796A → US3138759A
11,11,0.23414245,0.00494542,10,7,3,0,1974,1999,1974→1999,US4873981A,US4744029A,0.08897385,strict,US20100017225A1→US3513834A,US20100017225A1 → US6167298A → US5626145A → US5349962A → US4873981A → US4744029A → US4557270A → US4408616A → US3958563A → US3513834A
12,12,0.19508887,0.02429702,11,8,3,0,1970,1996,1970→1996,US4736751A,US4649482A,0.05124629,strict,US20080101660A1→US3087487A,US20080101660A1 → US6292688B1 → US5392788A → US4949725A → US4736751A → US4649482A → US4408616A → US4171696A → US3880144A → US3706308A → US3087487A
13,13,0.18711705,0.01286477,13,9,4,0,1946,1999,1946→1999,US5743860A,US5626145A,0.04353777,strict,US20060094970A1→US1684860A,US20060094970A1 → US6549804B1 → US5743860A → US5626145A → US5392788A → US4953968A → US4697598A → US4085739A → US3998213A → US3658054A → US3490439A → US2549836A → US1684860A
14,14,0.17220828,0.0114202,10,7,3,0,1973,1999,1973→1999,US4579125A,US4493327A,0.07957724,strict,US9370457B2→US3498287A,US9370457B2 → US6272378B1 → US5999846A → US5450855A → US4955388A → US4794533A → US4579125A → US4493327A → US3901215A → US3498287A
15,15,0.16205114,0.01293149,13,9,4,0,1946,1999,1946→1999,US5638826A,US5474082A,0.04383559,strict,US6671543B1→US2426958A,US6671543B1 → US6496724B1 → US6001065A → US5638826A → US5474082A → US4974602A → US4800895A → US4579125A → US4417591A → US4213465A → US4084583A → US2549836A → US2426958A
16,16,0.1578338,0.01455175,11,8,3,0,1973,1999,1973→1999,US4201224A,US3901215A,0.05897381,strict,US12232905B2→US3032029A,US12232905B2 → US6317627B1 → US5813993A → US5447166A → US4913160A → US4705049A → US4603703A → US4416288A → US4201224A → US3901215A → US3032029A
17,17,0.15247037,0.01879544,13,11,2,0,1972,1997,1972→1997,US4092981A,US3978847A,0.06136788,strict,US11647999B1→US3123768A,US11647999B1 → US5938688A → US5611350A → US5495853A → US5356368A → US5036858A → US4883067A → US4462411A → US4275744A → US4092981A → US3978847A → US3821949A → US3123768A
18,18,0.14632808,0.00658985,11,9,2,0,1978,1999,1978→1999,US4610259A,US4493327A,0.0719213,strict,US6966778B2→US3623477A,US6966778B2 → US6364845B1 → US5983129A → US5450855A → US5299118A → US5047930A → US4776345A → US4610259A → US4493327A → US4214591A → US3623477A
19,19,0.13919295,0.00537749,9,6,3,0,1978,1999,1978→1999,US5857978A,US5392788A,0.04777863,strict,WO03085546A1→US3656474A,WO03085546A1 → US6230049B1 → US5857978A → US5392788A → US4926969A → US4697598A → US4417592A → US4171696A → US3656474A
20,20,0.13606772,0.00318933,9,6,3,0,1976,1999,1976→1999,US5626145A,US5392788A,0.05494542,strict,US8062129B2→US2933364A,US8062129B2 → US6496724B1 → US5626145A → US5392788A → US5003986A → US4610259A → US4411273A → US4037586A → US2933364A
21,21,0.12856254,0.007974,10,7,3,0,1972,1999,1972→1999,US6549804B1,US6304775B1,0.05787562,strict,US7764989B2→US2501808A,US7764989B2 → US6549804B1 → US6304775B1 → US5995868A → US5626627A → US4873981A → US4503863A → US3967616A → US3837331A → US2501808A
22,22,0.1271166,0.01221258,10,7,3,0,1973,1998,1973→1998,US4610259A,US4408616A,0.04874287,strict,US7239919B2→US3574450A,US7239919B2 → US6115631A → US5983129A → US5762611A → US5460184A → US4955388A → US4610259A → US4408616A → US3901215A → US3574450A
23,23,0.11739583,0.0267647,11,8,3,0,1970,1999,1970→1999,US5392788A,US5003986A,0.04483234,strict,US12329589B2→US3286176A,US12329589B2 → WO0025668A1 → US6011991A → US5816247A → US5392788A → US5003986A → US4736307A → US4498080A → US4213465A → US3696808A → US3286176A
24,24,0.11422937,0.02532939,10,7,3,0,1971,1999,1971→1999,US3837331A,US3753433A,0.04347499,strict,US20040220493A1→US3032029A,US20040220493A1 → US6496724B1 → US5729205A → US5649061A → US5218530A → US4744029A → US4408616A → US3837331A → US3753433A → US3032029A
25,25,0.10425614,0.00303239,9,6,3,0,1976,1998,1976→1998,US4987903A,US4794533A,0.04543887,strict,US20100286551A1→US2712309A,US20100286551A1 → US6254536B1 → US5649061A → US5447166A → US4987903A → US4794533A → US4412547A → US4037586A → US2712309A
26,26,0.10001271,0.01255178,11,8,3,0,1972,1999,1972→1999,US4171696A,US3837331A,0.04242163,strict,US7202793B2→US3495596A,US7202793B2 → US6496724B1 → US5762611A → US5363858A → US5170780A → US4932416A → US4649482A → US4421122A → US4171696A → US3837331A → US3495596A
27,27,0.08188715,0.01360393,7,4,3,0,1973,1999,1973→1999,US4201224A,US3893450A,0.05504222,strict,US8326417B2→US3498287A,US8326417B2 → US6230049B1 → US5730146A → US4744029A → US4201224A → US3893450A → US3498287A
28,28,0.07935065,0.00984797,8,5,3,0,1973,1999,1973→1999,US5269302A,US4878498A,0.04757904,strict,US8326417B2→US3087487A,US8326417B2 → US6128538A → US6016449A → US5269302A → US4878498A → US4503863A → US3893450A → US3087487A
29,29,0.0672894,0.00207198,8,6,2,0,1979,1999,1979→1999,US4493327A,US4275744A,0.04892695,strict,US8209019B2→US3498287A,US8209019B2 → US6549804B1 → US5813993A → US5311877A → US4883067A → US4493327A → US4275744A → US3498287A
30,30,0.06508878,0.00733544,7,5,2,0,1972,1999,1972→1999,US6230049B1,US5857978A,0.05046828,strict,US7146211B2→US3413546A,US7146211B2 → US6230049B1 → US5857978A → US5349962A → US3993046A → US3837331A → US3413546A
