source,relation,target,patent_pub
Patent:US20040102828A1,解决,技术问题:调节电极长度以改变远端接触表面相对于脑表面的接触力,US20040102828A1
Patent:US20040102828A1,应用于,应用场景:神经刺激,US20040102828A1
Patent:US20040102828A1,应用于,应用场景:脑电图分析,US20040102828A1
Patent:US20040102828A1,采用,技术方法:植入颅内电极,US20040102828A1
Patent:US20040102828A1,采用,技术方法:刺激参数控制,US20040102828A1
Patent:US20040102828A1,基于,技术原理:电极,US20040102828A1
Patent:US20040102828A1,包括,核心部件:颅内电极,US20040102828A1
Patent:US20040102828A1,包括,核心部件:轴,US20040102828A1
Patent:US20040102828A1,包括,核心部件:远端接触表面,US20040102828A1
Patent:US20040102828A1,包括,核心部件:头部,US20040102828A1
Patent:US20040102828A1,包括,核心部件:螺纹,US20040102828A1
技术方法:植入颅内电极,处理,生物信号类型:脑电信号,US20040102828A1
技术方法:刺激参数控制,处理,生物信号类型:脑电信号,US20040102828A1
Patent:US20040102828A1,属于,技术主题:电疗器械 (A61N1),US20040102828A1
Patent:US20040102828A1,公开国家,国家:美国,US20040102828A1
Patent:US20040102828A1,公开年,年份:2003,US20040102828A1
Patent:US20060015153A1,解决,技术问题:神经刺激功效,US20060015153A1
Patent:US20060015153A1,解决,技术问题:降低功耗,US20060015153A1
Patent:US20060015153A1,解决,技术问题:提供至少充分的症状缓解,US20060015153A1
Patent:US20060015153A1,应用于,应用场景:神经刺激,US20060015153A1
Patent:US20060015153A1,采用,技术方法:施加测试刺激信号,US20060015153A1
Patent:US20060015153A1,采用,技术方法:根据第一组刺激参数在第一时域上施加刺激,US20060015153A1
Patent:US20060015153A1,采用,技术方法:根据第二组刺激参数在第二时域上施加刺激,US20060015153A1
Patent:US20060015153A1,采用,技术方法:突发模式刺激,US20060015153A1
Patent:US20060015153A1,采用,技术方法:调节刺激参数,US20060015153A1
Patent:US20060015153A1,基于,技术原理:固有脑电波频率,US20060015153A1
Patent:US20060015153A1,基于,技术原理:亚阈值、阈值和/或超阈值水平刺激,US20060015153A1
Patent:US20060015153A1,基于,技术原理:周期性、非周期性和/或伪随机方式刺激,US20060015153A1
技术方法:突发模式刺激,处理,生物信号类型:脑电波,US20060015153A1
Patent:US20060015153A1,属于,技术主题:电疗器械 (A61N1),US20060015153A1
Patent:US20060015153A1,公开国家,国家:美国,US20060015153A1
Patent:US20060015153A1,公开年,年份:2005,US20060015153A1
Patent:US20050070971A1,解决,技术问题:向患者提供神经刺激,US20050070971A1
Patent:US20050070971A1,应用于,应用场景:神经刺激,US20050070971A1
Patent:US20050070971A1,采用,技术方法:以第一信号极性偏置,US20050070971A1
Patent:US20050070971A1,采用,技术方法:以第二信号极性偏置,US20050070971A1
Patent:US20050070971A1,采用,技术方法:电极组件放置,US20050070971A1
Patent:US20050070971A1,基于,技术原理:电刺激,US20050070971A1
Patent:US20050070971A1,包括,核心部件:刺激单元,US20050070971A1
Patent:US20050070971A1,包括,核心部件:可植入脉冲发生器,US20050070971A1
Patent:US20050070971A1,包括,核心部件:第一电极组件,US20050070971A1
Patent:US20050070971A1,包括,核心部件:第一组触点,US20050070971A1
Patent:US20050070971A1,包括,核心部件:第二组触点,US20050070971A1
Patent:US20050070971A1,包括,核心部件:支撑构件,US20050070971A1
Patent:US20050070971A1,包括,核心部件:第一引线,US20050070971A1
