node_id,node_type,name,title,标题_中文,是否主路径,申请日,主IPC分类号,ipc_code
Patent:US20040102828A1,Patent,US20040102828A1,Methods and systems employing intracranial electrodes for neurostimulation and/or electroencephalography,使用颅内电极用于神经刺激和/或脑电描记术的方法和系统,是,2003-04-18,A61N1/05,
技术问题:调节电极长度以改变远端接触表面相对于脑表面的接触力,技术问题,调节电极长度以改变远端接触表面相对于脑表面的接触力,,,,,,
应用场景:神经刺激,应用场景,神经刺激,,,,,,
应用场景:脑电图分析,应用场景,脑电图分析,,,,,,
技术方法:植入颅内电极,技术方法,植入颅内电极,,,,,,
技术方法:刺激参数控制,技术方法,刺激参数控制,,,,,,
技术原理:电极,技术原理,电极,,,,,,
核心部件:颅内电极,核心部件,颅内电极,,,,,,
核心部件:轴,核心部件,轴,,,,,,
核心部件:远端接触表面,核心部件,远端接触表面,,,,,,
核心部件:头部,核心部件,头部,,,,,,
核心部件:螺纹,核心部件,螺纹,,,,,,
生物信号类型:脑电信号,生物信号类型,脑电信号,,,,,,
技术主题:电疗器械 (A61N1),技术主题,电疗器械 (A61N1),,,,,,A61N1
国家:美国,国家,美国,,,,,,
年份:2003,年份,2003,,,,,,
Patent:US20060015153A1,Patent,US20060015153A1,Systems and methods for enhancing or affecting neural stimulation efficiency and/or efficacy,增强或影响神经刺激效率和/或功效的系统和方法,是,2005-07-15,A61N1/18,
技术问题:神经刺激功效,技术问题,神经刺激功效,,,,,,
技术问题:降低功耗,技术问题,降低功耗,,,,,,
技术问题:提供至少充分的症状缓解,技术问题,提供至少充分的症状缓解,,,,,,
技术方法:施加测试刺激信号,技术方法,施加测试刺激信号,,,,,,
技术方法:根据第一组刺激参数在第一时域上施加刺激,技术方法,根据第一组刺激参数在第一时域上施加刺激,,,,,,
技术方法:根据第二组刺激参数在第二时域上施加刺激,技术方法,根据第二组刺激参数在第二时域上施加刺激,,,,,,
技术方法:突发模式刺激,技术方法,突发模式刺激,,,,,,
技术方法:调节刺激参数,技术方法,调节刺激参数,,,,,,
技术原理:固有脑电波频率,技术原理,固有脑电波频率,,,,,,
技术原理:亚阈值、阈值和/或超阈值水平刺激,技术原理,亚阈值、阈值和/或超阈值水平刺激,,,,,,
技术原理:周期性、非周期性和/或伪随机方式刺激,技术原理,周期性、非周期性和/或伪随机方式刺激,,,,,,
生物信号类型:脑电波,生物信号类型,脑电波,,,,,,
年份:2005,年份,2005,,,,,,
Patent:US20050070971A1,Patent,US20050070971A1,Apparatus and methods for applying neural stimulation to a patient,向患者施加神经刺激的装置和方法,是,2004-08-02,A61N1/18,
技术问题:向患者提供神经刺激,技术问题,向患者提供神经刺激,,,,,,
技术方法:以第一信号极性偏置,技术方法,以第一信号极性偏置,,,,,,
技术方法:以第二信号极性偏置,技术方法,以第二信号极性偏置,,,,,,
技术方法:电极组件放置,技术方法,电极组件放置,,,,,,
技术原理:电刺激,技术原理,电刺激,,,,,,
核心部件:刺激单元,核心部件,刺激单元,,,,,,
核心部件:可植入脉冲发生器,核心部件,可植入脉冲发生器,,,,,,
核心部件:第一电极组件,核心部件,第一电极组件,,,,,,
核心部件:第一组触点,核心部件,第一组触点,,,,,,
核心部件:第二组触点,核心部件,第二组触点,,,,,,
核心部件:支撑构件,核心部件,支撑构件,,,,,,
核心部件:第一引线,核心部件,第一引线,,,,,,
核心部件:导电元件,核心部件,导电元件,,,,,,
核心部件:电极阵列,核心部件,电极阵列,,,,,,
年份:2004,年份,2004,,,,,,
Patent:US20050021118A1,Patent,US20050021118A1,Apparatuses and systems for applying electrical stimulation to a patient,向患者施加电刺激的装置和系统,是,2004-06-25,A61N1/05,
技术方法:施加电刺激,技术方法,施加电刺激,,,,,,
技术方法:第一电位偏压,技术方法,第一电位偏压,,,,,,
技术方法:第二电位偏压,技术方法,第二电位偏压,,,,,,
技术方法:产生电场,技术方法,产生电场,,,,,,
技术原理:电场刺激,技术原理,电场刺激,,,,,,
技术原理:电位偏压,技术原理,电位偏压,,,,,,
核心部件:电极组件,核心部件,电极组件,,,,,,
核心部件:柔性外壳,核心部件,柔性外壳,,,,,,
核心部件:引线,核心部件,引线,,,,,,
核心部件:导体,核心部件,导体,,,,,,
核心部件:接口,核心部件,接口,,,,,,
Patent:US20050021105A1,Patent,US20050021105A1,Methods and apparatus for effectuating a change in a neural-function of a patient,实现患者神经功能改变的方法和装置,是,2004-08-06,A61N1/18,
技术问题:实现患者神经功能改变,技术问题,实现患者神经功能改变,,,,,,
技术问题:增强或诱导神经活性的持久改变,技术问题,增强或诱导神经活性的持久改变,,,,,,
技术问题:治疗脑损伤、脑疾病和脑障碍,技术问题,治疗脑损伤、脑疾病和脑障碍,,,,,,
技术问题:增强神经功能,技术问题,增强神经功能,,,,,,
技术问题:控制感觉功能,技术问题,控制感觉功能,,,,,,
