code,topic
A01B5,农业耕作机具
A01N63,微生物及酶处理
A42B1,帽子头饰
A61B1,内窥镜检查
A61B10,采样及活体检查
A61B13,心理检查器械
A61B17,外科器械
A61B18,外科电热器械
A61B19,手术辅助器械
A61B3,眼科诊断器械
A61B34,手术导航系统
A61B5,身体诊断测量
A61B50,手术器械容器
A61B6,放射诊断设备
A61B7,听诊器具
A61B8,超声诊断
A61B90,手术辅助配件
A61F11,耳科治疗器具
A61F2,植入假体
A61F4,辅助行走器具
A61F7,热疗冷疗器具
A61G5,轮椅及移动
A61H1,物理康复器械
A61H15,按摩滚轮
A61H23,振动按摩器
A61H3,助行器具
A61H99,理疗其他器械
A61K31,有机药物制剂
A61M16,呼吸通气装置
A61M21,精神治疗装置
A61M27,引流装置
A61M31,体腔给药器
A61M37,药物导入装置
A61M5,注射器械
A61N1,电疗器械
A61N2,磁疗器械
A61N5,放射治疗
A61N7,超声治疗
A63B22,健身训练器械
A63B71,运动辅助用品
A63F13,视频游戏
A63F9,桌面游戏
A66N1,未知分类
B25J13,机械手控制
B29L31,塑料制品
B60K35,车辆仪表显示
B60Q1,车辆信号装置
B60W20,混合动力控制
B60W50,车辆控制诊断
B64C39,飞行器结构
B81B7,微机械系统
B81C1,微结构制造
C12M3,组织培养装置
C12N5,动物细胞培养
C12P19,糖类生物合成
G01C21,导航定位测量
G01N21,光学检测
G01N27,电化学检测
G01N33,生物材料分析
G01R33,磁共振测量
G02B27,光学元件系统
G02B5,光学滤光片
G03B17,相机结构
G05B13,自适应控制
G05B19,程序控制系统
G05D23,温度控制
G06F1,计算机电源
G06F123,计算机接口
G06F15,数字计算机
G06F16,信息检索
G06F17,数据处理
G06F18,模式识别
G06F19,医疗信息处理
G06F21,安全防护
G06F3,输入输出装置
G06F30,计算机辅助设计
G06F9,程序控制
G06G7,模拟计算机
G06K11,数据识别
G06K9,图像识别
G06N20,机器学习
G06N3,神经网络
G06N5,知识推理
G06N99,人工智能其他
G06Q10,管理资源系统
G06Q30,商业交易系统
G06Q50,行业管理系统
G06Q99,商业其他系统
G06T1,图像处理基础
G06T11,图像生成
G06T12,图像变换
G06T13,动画制作
G06T15,三维渲染
G06T17,三维建模
G06T19,增强现实
G06T7,图像分析
G06V10,图像特征提取
G06V20,场景理解
G06V40,生物识别
G08B21,状态报警器
G08B23,特定报警器
G08B6,触觉报警
G08C23,红外遥控
G09B1,教学器具
G09B19,教学科目
G09B23,科学教学模型
G09B5,视听教学
G09B7,教学测试
G09B9,模拟训练器
G09G1,显示控制
G09G5,显示驱动
G10L11,语音分析
G10L13,语音合成
G10L15,语音识别
G10L25,语音处理
G11B19,记录载体控制
G11B27,编辑索引
G16B45,生物信息分析
G16H10,医疗数据管理
G16H20,治疗方案
G16H30,医学影像数据
G16H40,医疗设备信息
G16H50,医学决策支持
G16Z99,信息其他应用
H01R13,连接器结构
H01R35,旋转连接器
H04H60,广播分配
H04L12,数据交换网络
H04L29,通信协议
H04L67,网络服务
H04M1,电话设备
H04N13,立体电视
H04N17,电视测试
H04N19,视频编码
H04N21,视频分发
H04N5,电视信号处理
H04N7,电视系统
H04R1,扬声器
H04R23,特殊换能器
H04R25,助听器
H04R29,换能器测试
H04R3,音频电路
H04S1,立体声系统
H04W12,无线安全
H04W4,无线业务
H05B37,照明控制
H10P14,半导体器件
