pub,title,title_zh,摘要缺失原因,公开国家_推断
US20050021107A1,,,主路径 window 节点，merged_patent_info.csv 中无任何记录（无中文/英文摘要）,美国
US20040111127A1,,,主路径 window 节点，merged_patent_info.csv 中无任何记录（无中文/英文摘要）,美国
US20050004620A1,,,主路径 window 节点，merged_patent_info.csv 中无任何记录（无中文/英文摘要）,美国
US20040088024A1,,,主路径 window 节点，merged_patent_info.csv 中无任何记录（无中文/英文摘要）,美国
US20090024448A1,,,主路径 window 节点，merged_patent_info.csv 中无任何记录（无中文/英文摘要）,美国
US20110237971A1,,,主路径 window 节点，merged_patent_info.csv 中无任何记录（无中文/英文摘要）,美国
US20090024475A1,,,主路径 window 节点，merged_patent_info.csv 中无任何记录（无中文/英文摘要）,美国
US20090030717A1,,,主路径 window 节点，merged_patent_info.csv 中无任何记录（无中文/英文摘要）,美国
US20090083129A1,,,主路径 window 节点，merged_patent_info.csv 中无任何记录（无中文/英文摘要）,美国
US8270814B2,,,主路径 window 节点，merged_patent_info.csv 中无任何记录（无中文/英文摘要）,美国
US20110047121A1,,,主路径 window 节点，merged_patent_info.csv 中无任何记录（无中文/英文摘要）,美国
US20070055169A1,,,主路径 window 节点，merged_patent_info.csv 中无任何记录（无中文/英文摘要）,美国
US20090030287A1,,,主路径 window 节点，merged_patent_info.csv 中无任何记录（无中文/英文摘要）,美国
