pub,title,title_zh,摘要_中文,申请日,app_year,country,pub_date,主IPC分类号,IPC分类号,数据来源,是否主路径
US20040102828A1,Methods and systems employing intracranial electrodes for neurostimulation and/or electroencephalography,使用颅内电极用于神经刺激和/或脑电描记术的方法和系统,本发明的方面涉及颅内电极和用于植入和使用颅内电极的方法。 在一个特定示例中，颅内电极包括轴，该轴具有适于电接触患者大脑的表面的远端接触表面，与轴相关联的头部，以及适于相对于患者颅骨固定电极的螺纹。 所述电极可具有可调节长度，所述可调节长度适于通过调节所述电极的长度来改变所述远端接触表面相对于所述脑表面的接触力。,2003-04-18,2003.0,US,2004-05-27,A61N1/05,A61N1/05,incoPat,True
US20060015153A1,Systems and methods for enhancing or affecting neural stimulation efficiency and/or efficacy,增强或影响神经刺激效率和/或功效的系统和方法,公开了用于增强或影响神经刺激效率和/或功效的系统和方法。 在一个实施例中，系统和/或方法可以根据第一组刺激参数在第一时域上和根据第二组刺激参数在第二时域上向患者的神经系统施加电磁刺激。 所述第一和第二时域可以是顺序的，同时的或嵌套的。 刺激参数可以根据一种或多种类型的占空比，振幅，脉冲重复频率，脉冲宽度，时空和/或极性变化而变化。 可以以一种或多种周期性，非周期性(例如混沌)和/或伪随机方式在亚阈值，阈值和/或超阈值水平上施加刺激。 在一些实施例中，刺激可以包括突发模式，该突发模式具有对应于固有脑电波频率的突发间频率，以及规则的和/或变化的突发内刺激参数。 可以在中等或显著的电源耗尽之前施加刺激信号，所述刺激信号提供具有至少充分的症状缓解的降低的功耗。,2005-07-15,2005.0,US,2006-01-19,A61N1/18,A61N1/18; H04L49/901,incoPat,True
US20050070971A1,Apparatus and methods for applying neural stimulation to a patient,向患者施加神经刺激的装置和方法,用于神经刺激的系统和方法可以包括刺激单元； 具有第一组触点的第一电极组件； 以及第二组触点。 刺激单元可以是可植入脉冲发生器，其包括能够以第一信号极性偏置的第一端子和能够以第二信号极性偏置的第二端子。 所述第一电极组件包括支撑构件，所述支撑构件被构造成放置在刺激部位， 所述第一组触点由所述支撑构件承载，以及第一引线，所述第一引线被配置为附接到所述可植入脉冲发生器的所述第一端子，用于以所述第一极性偏压所述表面触点。 所述第二组触点与所述表面电极组件分离。 所述第二组触点可以是固定到所述可植入脉冲发生器或形成所述可植入脉冲发生器的一部分的一个或多个导电元件，或独立的电极阵列。,2004-08-02,2004.0,US,2005-03-31,A61N1/18,A61N1/18; A61N; A61N1/05; A61N1/36,incoPat,True
US20050021118A1,Apparatuses and systems for applying electrical stimulation to a patient,向患者施加电刺激的装置和系统,本发明公开了用于向患者的部位施加电刺激的装置和系统。 在一个实施例中，可植入电极组件包括由柔性支撑构件承载的电极阵列。 所述电极阵列可包括与第二多个电极间隔开的第一多个电极。 所述第一多个电极可以连接到第一引线，并且所述第二多个电极可以类似地连接到第二引线。 所述第一和第二引线可容纳在远离所述支撑构件延伸的电缆中。 所述电缆的远端可包括用于将所述引线耦合到可植入脉冲发生器或其它刺激单元的连接器。 在操作中，刺激单元能够以第一电位偏压第一多个电极并且以第二电位偏压第二多个电极，以产生接近刺激部位的电场。,2004-06-25,2004.0,US,2005-01-27,A61N1/05,A61N1/05; A61N; A61N1/08; A61N1/36,incoPat,True
US20050021105A1,Methods and apparatus for effectuating a change in a neural-function of a patient,实现患者神经功能改变的方法和装置,以下公开描述了几种用于颅内电刺激以治疗或以其它方式实现患者神经功能改变的方法和装置。 本发明的方法的几个实施方案针对增强或以其它方式诱导神经活性的持久改变，以实现特定的神经功能。 神经活性的这种持续变化被定义为“神经可塑性”。根据本发明的方法可用于治疗脑损伤(例如中风，创伤等)，脑疾病(例如阿尔茨海默氏病，匹克氏病，帕金森氏病等)和/或脑障碍(例如癫痫，抑郁症等)。 本发明的方法还可用于增强正常健康大脑的神经功能(例如学习，记忆等)，或用于控制感觉功能(例如疼痛)。 本发明方法的某些实施方案在神经可塑性发生的刺激部位对脑进行电刺激。 刺激部位可以不同于脑中根据脑的功能组织通常存在神经活性以执行特定神经功能的区域。 在其中与神经功能相关的神经可塑性发生在脑中的一个实施方案中，该方法可以包括识别这种神经可塑性存在的位置。 在脑中不发生神经可塑性的可选实施方案中，可选方面是在预期发生神经可塑性的刺激部位诱导神经可塑性。 这些方法的几个实施方案预期在刺激部位对预期的神经活性产生持久的影响，它们使用将刺激部位神经元的静止膜电位增加到亚阈值水平的电脉冲。,2004-08-06,2004.0,US,2005-01-27,A61N1/18,A61N1/18; A61N1/05; A61N1/36; A61N1/375,incoPat,True
US7024247B2,Systems and methods for reducing the likelihood of inducing collateral neural activity during neural stimulation threshold test procedures,在神经刺激阈值测试过程中降低诱导侧枝神经活性的可能性的系统和方法,一种用于确定患者的神经刺激阈值的测试程序。 在一个实施例中，所述过程包括将测试刺激信号施加到所述患者并监测所述患者对所述测试刺激信号的响应。 所述过程还可以包括确定第一神经刺激阈值和计算第二神经刺激阈值。 所述第一神经刺激阈值对应于引发患者响应的最低强度测试刺激信号。 所述第二神经刺激阈值对应于针对影响患者体内神经活性的治疗刺激信号。,2003-01-24,2003.0,US,2006-04-04,A61N1/32,A61N1/32; A61B; A61N1/05; A61N1/18; A61N1/34; A61N1/36; A61N1/375,incoPat,True
US20030130706A1,Methods and apparatus for effectuating a lasting change in a neural-function of a patient,实现患者神经功能持久改变的方法和装置,以下公开描述了几种用于颅内电刺激以治疗或以其它方式实现患者神经功能改变的方法和装置。 本发明的方法的几个实施方案针对增强或以其它方式诱导神经活性的持久改变，以实现特定的神经功能。 神经活性的这种持续变化被定义为“神经可塑性”。根据本发明的方法可用于治疗脑损伤(例如中风，创伤等)，脑疾病(例如阿尔茨海默氏病，匹克氏病，帕金森氏病等)和/或脑障碍(例如癫痫，抑郁症等)。 本发明的方法还可用于增强正常健康大脑的神经功能(例如学习，记忆等)，或用于控制感觉功能(例如疼痛)。 本发明方法的某些实施方案在神经可塑性发生的刺激部位对脑进行电刺激。 刺激部位可以不同于脑中根据脑的功能组织通常存在神经活性以执行特定神经功能的区域。 在其中与神经功能相关的神经可塑性发生在脑中的一个实施方案中，该方法可以包括识别这种神经可塑性存在的位置。 在脑中不发生神经可塑性的可选实施方案中，可选方面是在预期发生神经可塑性的刺激部位诱导神经可塑性。 这些方法的几个实施方案预期在刺激部位对预期的神经活性产生持久的影响，它们使用将刺激部位神经元的静止膜电位增加到亚阈值水平的电脉冲。,2002-09-27,2002.0,US,2003-07-10,A61N1/18,A61N1/18; A61N1/05; A61N1/36; A61N1/375,incoPat,True
US20030074032A1,Neural stimulation system and method responsive to collateral neural activity,响应侧支神经活动的神经刺激系统和方法,一种响应与神经刺激过程相关联可能出现的侧枝神经活动的神经刺激系统，包括 : 刺激接口，被配置为将刺激信号递送到目标神经群体；监控接口，被配置为接收对应于目标神经群体内的神经活动的信号；刺激单元，被耦合以将刺激信号递送到刺激接口；以及感测单元，被耦合到监控装置和刺激单元。 所述神经刺激过程可以通过促进和/或实现神经可塑性改变或重组而针对康复，恢复和/或增强一种或多种神经功能； 和/或影响在没有刺激过程的连续或基本上连续的基础上存在的神经病症。 感测单元确定是否存在侧枝神经活动的证据，由此刺激单元试图减弱侧枝神经活动。,2002-10-15,2002.0,US,2003-04-17,A61N1/18,A61N1/18; A61B5/0484; A61B5/0488; A61B5/11; A61N1/05; A61N1/34; A61N1/36; A61N1/375,incoPat,True
US20030088274A1,Method and apparatus for electrically stimulating cells implanted in the nervous system,用于电刺激植入神经系统中的细胞的方法和装置,以下公开描述了几种用于刺激植入神经系统区域的细胞的方法和装置，所述神经系统区域例如是脑，脊髓或外周神经。 因此，例如通过将未分化或部分未分化细胞分化为神经元或其它具有动作电位的细胞，可以改善细胞的功能性。 所述方法还可以包括通过电增强，例如通过阳极和阴极的电刺激，促进植入患者神经系统中的完全分化神经细胞的定向生长和连通性。 本发明的方法可用于治疗脑损伤(例如中风，创伤等)，脑疾病(例如阿尔茨海默氏病，匹克氏病，帕金森氏病等)和/或脑障碍(例如癫痫，抑郁症等)。 本发明的方法还可用于增强正常健康大脑的神经功能(例如学习，记忆等)，或用于控制感觉功能(例如疼痛)。,2002-09-30,2002.0,US,2003-05-08,A61N1/18,A61N1/18; A61N1/36,incoPat,True
US7146217B2,Methods and apparatus for effectuating a change in a neural-function of a patient,实现患者神经功能改变的方法和装置,以下公开描述了几种用于颅内电刺激以治疗或以其它方式实现患者神经功能改变的方法和装置。 本发明的方法的几个实施方案针对增强或以其它方式诱导神经活性的持久改变，以实现特定的神经功能。 神经活性的这种持续变化被定义为“神经可塑性”。 本发明的方法可用于治疗脑损伤(例如中风，创伤等)，脑疾病(例如阿尔茨海默氏病，匹克氏病，帕金森氏病等)和/或脑障碍(例如癫痫，抑郁症等)。 本发明的方法还可用于增强正常健康大脑的神经功能(例如学习，记忆等)，或用于控制感觉功能(例如疼痛)。 本发明方法的某些实施方案在神经可塑性发生的刺激部位对脑进行电刺激。 刺激部位可以不同于脑中根据脑的功能组织通常存在神经活性以执行特定神经功能的区域。 在其中与神经功能相关的神经可塑性发生在脑中的一个实施方案中，该方法可以包括识别这种神经可塑性存在的位置。 在脑中不发生神经可塑性的可选实施方案中，可选方面是在预期发生神经可塑性的刺激部位诱导神经可塑性。 这些方法的几个实施方案预期在刺激部位对预期的神经活性产生持久的影响，它们使用将刺激部位神经元的静止膜电位增加到亚阈值水平的电脉冲。,2002-02-07,2002.0,US,2006-12-05,A61N1/18,A61N1/18; A61N1/05; A61N1/36; A61N1/375,incoPat,False
