period,path_id,主路径节点数,主路径有摘要,规则拓展,语义拓展,双方法,拓展合计,总计
2000_2005,1,9,9,73,278,22,373,382
2000_2005,2,9,9,77,281,19,377,386
2000_2005,3,9,9,79,271,19,369,378
2000_2010,1,15,15,91,56,4,151,166
2000_2010,2,13,13,86,35,6,127,140
2000_2010,3,14,14,9,47,2,58,72
2000_2015,1,11,11,86,95,17,198,209
2000_2015,2,13,13,81,44,10,135,148
2000_2015,3,15,15,85,111,13,209,224
2000_2020,1,12,12,7,54,6,67,79
2000_2020,2,11,11,23,57,7,87,98
2000_2020,3,11,11,82,152,26,260,271
2000_2026,1,13,13,93,54,10,157,170
2000_2026,2,13,13,84,46,2,132,145
2000_2026,3,11,11,87,33,10,130,141
