topic_code,F_sim,C_sim,P_sim
A01B5,0.0,0.0,0.0
A01N63,0.0,0.0,0.0
A42B1,0.0,0.0,0.0
A61B1,0.0,0.0,0.0
A61B10,0.5252884030342102,0.4869689345359802,0.4808243215084076
A61B13,0.0,0.0,0.0
A61B17,0.3872140944004059,0.3021566867828369,0.35772836208343506
A61B18,0.0,0.0,0.0
A61B19,0.0,0.0,0.0
A61B3,0.0,0.0,0.0
A61B34,0.5748941898345947,0.5542333126068115,0.5127264857292175
A61B5,0.7616274356842041,0.7950596809387207,0.7293296456336975
A61B50,0.0,0.0,0.0
A61B6,0.0,0.0,0.0
A61B7,0.0,0.0,0.0
A61B8,0.0,0.0,0.0
A61B90,0.685092568397522,0.6748257875442505,0.8226974010467529
A61F11,0.0,0.0,0.0
A61F2,0.4310886263847351,0.6166777610778809,0.4252631664276123
A61F4,0.0,0.0,0.0
A61F7,0.0,0.0,0.0
A61G5,0.511396050453186,0.5393880605697632,0.8118256330490112
A61H1,0.0,0.0,0.0
A61H15,0.0,0.0,0.0
A61H23,0.0,0.0,0.0
A61H3,0.0,0.0,0.0
A61H99,0.0,0.0,0.0
A61K31,0.0,0.0,0.0
A61M16,0.0,0.0,0.0
A61M21,0.646164059638977,0.6458961963653564,0.6335911750793457
A61M27,0.0,0.0,0.0
A61M31,0.0,0.0,0.0
A61M37,0.0,0.0,0.0
A61M5,0.5023646354675293,0.7027057409286499,0.5088053345680237
A61N1,0.7492566108703613,0.7753615379333496,0.7059494256973267
A61N2,0.6166909337043762,0.6284937858581543,0.5859156847000122
A61N5,0.6695383787155151,0.515390157699585,0.6032983064651489
A61N7,0.0,0.0,0.0
A63B22,0.0,0.0,0.0
A63B71,0.0,0.0,0.0
A63F13,0.5150381922721863,0.4157024025917053,0.0
A63F9,0.0,0.0,0.0
A66N1,0.0,0.0,0.0
B25J13,0.0,0.0,0.0
B29L31,0.0,0.0,0.0
B60K35,0.0,0.0,0.0
B60Q1,0.0,0.0,0.0
B60W20,0.0,0.0,0.0
B60W50,0.0,0.0,0.0
B64C39,0.0,0.0,0.0
B81B7,0.0,0.0,0.0
B81C1,0.0,0.0,0.0
C12M3,0.0,0.0,0.0
C12N5,0.0,0.0,0.0
C12P19,0.0,0.0,0.0
G01C21,0.0,0.0,0.0
G01N21,0.0,0.0,0.0
G01N27,0.5057693123817444,0.4957176744937897,0.4089582860469818
G01N33,0.0,0.0,0.0
G01R33,0.5235722064971924,0.522438645362854,0.42844510078430176
G02B27,0.5383415222167969,0.4906942844390869,0.6311370134353638
G02B5,0.0,0.0,0.0
G03B17,0.0,0.0,0.0
G05B13,0.0,0.0,0.0
G05B19,0.5687294006347656,0.46437937021255493,0.5775231122970581
G05D23,0.0,0.0,0.0
G06F1,0.0,0.0,0.0
G06F123,0.0,0.0,0.0
G06F15,0.0,0.0,0.0
G06F16,0.4955455958843231,0.5016666650772095,0.47078120708465576
G06F17,0.6184237003326416,0.664300799369812,0.6532281637191772
G06F18,0.5949232578277588,0.6720196008682251,0.5636606216430664
G06F19,0.5804024934768677,0.5357400178909302,0.5067075490951538
G06F21,0.5097203850746155,0.4987403154373169,0.536474347114563
G06F3,0.7533369064331055,0.7372661828994751,0.7303669452667236
G06F30,0.0,0.0,0.0
G06F9,0.5059263706207275,0.4028235077857971,0.3983410596847534
G06G7,0.0,0.0,0.0
G06K11,0.0,0.0,0.0
G06K9,0.6082233190536499,0.647011399269104,0.6046926975250244
G06N20,0.5271953344345093,0.49788224697113037,0.4705268442630768
G06N3,0.6483262777328491,0.6421566009521484,0.5578095316886902
G06N5,0.567297101020813,0.5951420068740845,0.48684126138687134
G06N99,0.0,0.0,0.0
G06Q10,0.7767337560653687,0.7236705422401428,0.8557524681091309
G06Q30,0.6320054531097412,0.7147176265716553,0.6183307766914368
G06Q50,0.0,0.0,0.0
G06Q99,0.0,0.0,0.0
G06T1,0.0,0.0,0.0
G06T11,0.5760077238082886,0.4909958839416504,0.3747349977493286
G06T12,0.0,0.0,0.0
G06T13,0.0,0.0,0.0
G06T15,0.0,0.0,0.0
G06T17,0.5222286581993103,0.2943173050880432,0.5450878143310547
G06T19,0.0,0.0,0.0
G06T7,0.5413545370101929,0.629702091217041,0.5576980113983154
G06V10,0.586685061454773,0.6317133903503418,0.5066130757331848
G06V20,0.0,0.0,0.0
G06V40,0.4983024001121521,0.4012913703918457,0.47010117769241333
G08B21,0.0,0.0,0.0
G08B23,0.0,0.0,0.0
G08B6,0.0,0.0,0.0
G08C23,0.0,0.0,0.0
G09B1,0.0,0.0,0.0
G09B19,0.6242580413818359,0.5163374543190002,0.6161609888076782
G09B23,0.0,0.0,0.0
G09B5,0.5590184926986694,0.5162620544433594,0.5137643814086914
G09B7,0.0,0.0,0.0
G09B9,0.5839900970458984,0.41918715834617615,0.5088640451431274
G09G1,0.0,0.0,0.0
G09G5,0.0,0.0,0.0
G10L11,0.0,0.0,0.0
G10L13,0.0,0.0,0.0
G10L15,0.0,0.0,0.0
G10L25,0.55257248878479,0.3958779573440552,0.4556794762611389
G11B19,0.0,0.0,0.0
G11B27,0.0,0.0,0.0
