topic_code,F_sim,C_sim,P_sim
A01B5,0.0,0.0,0.0
A42B1,0.0,0.0,0.0
A61B1,0.0,0.0,0.0
A61B10,0.5252884030342102,0.4869689345359802,0.4808243215084076
A61B13,0.0,0.0,0.0
A61B17,0.3872140944004059,0.3021566867828369,0.35772836208343506
A61B18,0.0,0.0,0.0
A61B19,0.0,0.0,0.0
A61B3,0.0,0.0,0.0
A61B34,0.5490493178367615,0.5472170114517212,0.39671051502227783
A61B5,0.7608820199966431,0.7928061485290527,0.7289477586746216
A61B50,0.0,0.0,0.0
A61B6,0.0,0.0,0.0
A61B7,0.0,0.0,0.0
A61B8,0.0,0.0,0.0
A61B90,0.685092568397522,0.6748257875442505,0.8226974010467529
A61F11,0.0,0.0,0.0
A61F2,0.427076518535614,0.617859959602356,0.4314430356025696
A61F4,0.0,0.0,0.0
A61F7,0.0,0.0,0.0
A61G5,0.511396050453186,0.5393880605697632,0.8118256330490112
A61H1,0.0,0.0,0.0
A61H15,0.0,0.0,0.0
A61H23,0.0,0.0,0.0
A61H3,0.0,0.0,0.0
A61H99,0.0,0.0,0.0
A61M16,0.0,0.0,0.0
A61M21,0.6467920541763306,0.6467734575271606,0.6312549114227295
A61M27,0.0,0.0,0.0
A61M37,0.0,0.0,0.0
A61N1,0.7387677431106567,0.7726948261260986,0.699143648147583
A61N2,0.6166909337043762,0.6284937858581543,0.5859156847000122
A61N5,0.6695383787155151,0.515390157699585,0.6032983064651489
A61N7,0.0,0.0,0.0
A63B22,0.0,0.0,0.0
A63B71,0.0,0.0,0.0
A63F13,0.5150381922721863,0.4157024025917053,0.0
A63F9,0.0,0.0,0.0
A66N1,0.0,0.0,0.0
B25J13,0.0,0.0,0.0
B29L31,0.0,0.0,0.0
B60K35,0.0,0.0,0.0
B60W20,0.0,0.0,0.0
B60W50,0.0,0.0,0.0
B64C39,0.0,0.0,0.0
B81B7,0.0,0.0,0.0
B81C1,0.0,0.0,0.0
C12M3,0.0,0.0,0.0
G01C21,0.0,0.0,0.0
G01N27,0.0,0.0,0.0
G01N33,0.0,0.0,0.0
G01R33,0.0,0.0,0.0
G02B27,0.5326160192489624,0.49009862542152405,0.6431770324707031
G02B5,0.0,0.0,0.0
G05B13,0.0,0.0,0.0
G05B19,0.0,0.0,0.0
G06F1,0.0,0.0,0.0
G06F123,0.0,0.0,0.0
G06F15,0.0,0.0,0.0
G06F16,0.4971292018890381,0.5252503752708435,0.44434690475463867
G06F17,0.6184237003326416,0.664300799369812,0.6532281637191772
G06F18,0.5947951078414917,0.6681874990463257,0.5647324323654175
G06F19,0.5685944557189941,0.5252189636230469,0.5174130201339722
G06F21,0.5097203850746155,0.4987403154373169,0.536474347114563
G06F3,0.7542516589164734,0.7384825348854065,0.7310969829559326
G06F9,0.5059263706207275,0.4028235077857971,0.3983410596847534
G06G7,0.0,0.0,0.0
G06K11,0.0,0.0,0.0
G06K9,0.595378041267395,0.6635186672210693,0.591797947883606
G06N20,0.5271953344345093,0.49788224697113037,0.4705268442630768
G06N3,0.6483262777328491,0.6421566009521484,0.5578095316886902
G06N5,0.567297101020813,0.5951420068740845,0.48684126138687134
G06N99,0.0,0.0,0.0
G06Q10,0.7767337560653687,0.7236705422401428,0.8557524681091309
G06Q30,0.6137820482254028,0.7239738702774048,0.6228336095809937
G06Q50,0.0,0.0,0.0
G06Q99,0.0,0.0,0.0
G06T1,0.0,0.0,0.0
