pub,topic_code,topic_name,country,is_cn,year,func,scene,princ,in_degree,relevant,category,reason
US20050070971A1,A61N1,电疗器械,美国,0,2004,以第一信号极性偏置|以第二信号极性偏置|电极组件放置,神经刺激,电刺激,344.0,False,无关,神经刺激装置未涉及脑信号采集或解码，非BCI核心应用。
US20050021118A1,A61N1,电疗器械,美国,0,2004,产生电场|施加电刺激|第一电位偏压|第二电位偏压,,电位偏压|电场刺激,170.0,False,无关,电刺激装置未明确涉及脑信号采集或神经调控，可能为一般医疗用途。
US7024247B2,A61N1,电疗器械,美国,0,2003,施加测试刺激信号|生成第二刺激|确定神经刺激阈值,长期监测和/或刺激,,321.0,False,无关,涉及神经刺激阈值测试，但未涉及脑信号采集或解码，非BCI核心应用。
US20030074032A1,A61N1,电疗器械,美国,0,2002,侧枝神经活动检测|促进神经可塑性改变,增强一种或多种神经功能|康复|恢复,响应侧支神经活动|感测单元确定是否存在侧枝神经活动的证据,272.0,False,无关,涉及神经刺激与监测，但未明确脑信号采集或BCI应用，属一般神经调控。
US20030088274A1,A61N1,电疗器械,美国,0,2002,电增强|细胞分化|阳极和阴极的电刺激,增强正常健康大脑的神经功能|外周神经|感觉功能控制|神经系统|脊髓|脑|脑损伤治疗|脑疾病治疗,电刺激促进神经细胞定向生长和连通性|电刺激促进细胞分化,212.0,False,无关,涉及神经电刺激但非脑机接口，未采集或解码脑信号。
US20050070982A1,A61N1,电疗器械,美国,0,2004,产生电场|刺激身体组织|接收电信号,医疗装置|可植入医疗装置,,254.0,False,无关,仅涉及通用可植入电刺激电极，未提及脑信号采集或脑机接口应用。
US7499748B2,A61N1,电疗器械,美国,0,2005,传递电刺激信号|电信号递送|经血管刺激神经干,,将神经刺激从电极经血管递送至神经干|通过引线将电刺激信号传递到电极,229.0,False,无关,刺激神经干但未涉及脑信号采集或脑机接口核心功能
US20180085586A1,A61N1,电疗器械,美国,0,2017,神经响应确定|调整电刺激治疗参数|选择感测信号,深部脑刺激|神经调节治疗,信号响应反馈|自适应控制,28.0,False,无关,电刺激疗法未明确涉及脑信号，感测信号非脑信号核心。
US20070179557A1,A61N1,电疗器械,美国,0,2006,接收与生理响应有关的数据|控制电疗信号的参数|施加内部和/或外部诱发和/或治疗信号|确定神经传递特性,治疗疾病,基于神经传输特性控制电疗信号|基于诱发信号产生的生理响应确定神经传递特性,266.0,False,无关,涉及神经调节和电疗，但未采集或解码脑信号，非BCI核心或直接应用。
US20210196948A1,A61N1,电疗器械,美国,0,2021,基于第一响应和第二响应，选择第一感测信号和第二感测信号之一|确定第一感测信号对电刺激治疗的第一响应以及第二感测信号对电刺激治疗的第二响应|调整电刺激治疗参数,医疗系统|患者,基于响应选择信号并调整参数,3.0,False,无关,电刺激治疗未明确涉及脑信号，感测信号可能为一般生理信号，非BCI核心。
US11602630B2,A61B5,身体诊断测量,美国,0,2018,使用柔性弹簧状部分|弯曲薄膜基板|设置电极触点,电极阵列,柔性|电连接性,9.0,False,无关,仅描述通用医疗电极阵列，未涉及脑信号采集或BCI应用。
US20130245715A1,A61N1,电疗器械,美国,0,2013,将可配置源编程为电流源或电压源|调节电压|调节电流|输送电能量,电极阵列|神经刺激治疗,电刺激能量|电场电位,53.0,False,无关,涉及神经刺激但未提及脑信号采集或解码，非BCI核心或直接应用。
US20200316382A1,A61N1,电疗器械,美国,0,2020,使用电刺图信号确定响应参数|基于响应参数和选择准则选择神经刺激治疗模式|根据刺激测试模式控制神经刺激能量的递送,神经刺激系统,响应参数|电活动对递送的神经刺激能量的响应,10.0,False,无关,涉及脊髓电刺激，非脑信号采集或脑机接口应用
EP4442310A3,A61N1,电疗器械,欧洲专利局,0,2020,使用所接收的ESG信号确定多个神经刺激测试模式中的每个测试模式的响应参数|根据多个神经刺激测试模式控制神经刺激能量的递送|通过基于响应参数从多个神经刺激测试模式中选择测试模式来确定神经刺激治疗模式,向具有脊髓的患者递送神经刺激能量,由所递送的神经刺激能量诱发的来自脊髓的响应,0.0,False,无关,涉及脊髓神经刺激，非脑信号，不属脑机接口
US20210060331A1,A61B5,身体诊断测量,美国,0,2020,确定第一感测信号相对于运动的第一变化|确定第二感测信号相对于运动的第二变化|调整电刺激治疗参数|选择感测信号,深部脑刺激治疗,基于运动不同步的自适应控制,4.0,False,无关,电刺激治疗基于运动感测信号，非脑信号，不涉及神经调控
US7945330B2,A61N1,电疗器械,美国,0,2008,确定期望配置|自动优化|评估响应信号,神经刺激,刺激参数优化|电极配置优化,89.0,False,无关,涉及神经刺激参数优化，但未提及脑信号采集或解码，非BCI核心或直接应用。
US20120158095A1,A61F11,耳科治疗器具,美国,0,2011,传递电刺激信号|引线连接|接地触点|电极阵列穿过耳蜗造口,,提供返回电流路径|浸入耳蜗流体中,21.0,False,无关,耳蜗植入属听觉神经刺激，非脑信号采集或脑机接口应用。
US8195300B2,A61N1,电疗器械,美国,0,2011,生成定义刺激的命令信号|确定期望配置和/或期望刺激|评估响应信号,植入式医疗设备,感测装置响应于刺激产生响应信号,108.0,False,无关,涉及神经刺激参数优化，但未提及脑信号采集或解码，非BCI核心。
US2014142410A1,A61B5,身体诊断测量,美国,0,2012,刺激电极组件|基底设置|多个横向偏移位置|横向宽度延伸|纵向长度间隔开,,,0.0,False,无关,涉及神经刺激电极，但未提及脑信号采集或解码，非BCI核心应用。
EP4474001A1,A61N1,电疗器械,欧洲专利局,0,2023,布置在细长且不导电的基底材料上的一个或多个第一电极布置|提供用于刺激的反电势和/或用于记录脊髓的神经纤维的参考电势,,细长的第一中央参考电极的长度比多个第一电极的平均长度大至少两倍或大至少三倍,0.0,False,无关,涉及脊髓神经刺激/记录，非脑信号，不属于BCI领域。
EP4474001C0,A61N1,电疗器械,欧洲专利局,0,2023,多个第一电极布置在细长的第一中心参考电极的两侧|布置在细长且不导电的基底材料上的一个或多个第一电极布置|细长的第一中心参考电极沿着细长基底材料的纵向方向延伸,医疗装置|系统,细长的第一中央参考电极的长度比多个第一电极的平均长度大至少两倍或大至少三倍|细长的第一中央参考电极被配置成经由多个第一电极提供用于刺激的反电势和/或用于记录脊髓的神经纤维的参考电势,0.0,False,无关,涉及脊髓神经刺激记录，非脑信号，不属于脑机接口
