window,pub
pre2000,US10349898B2
pre2000,US10596367B2
pre2000,US11026617B2
pre2000,US11647999B1
pre2000,US12232905B2
pre2000,US12329589B2
pre2000,US1684860A
pre2000,US20040220493A1
pre2000,US20060094970A1
pre2000,US20060265025A1
pre2000,US20080101660A1
pre2000,US20090172640A1
pre2000,US20100017225A1
pre2000,US20100286551A1
pre2000,US2426958A
pre2000,US2501808A
pre2000,US2549836A
pre2000,US2712309A
pre2000,US2902030A
pre2000,US2933364A
pre2000,US3032029A
pre2000,US3087487A
pre2000,US3123768A
pre2000,US3138759A
pre2000,US3174478A
pre2000,US3222598A
pre2000,US3286176A
pre2000,US3384075A
pre2000,US3413546A
pre2000,US3488586A
pre2000,US3490439A
pre2000,US3495596A
pre2000,US3498287A
pre2000,US3513834A
pre2000,US3565058A
pre2000,US3574450A
pre2000,US3623477A
pre2000,US3656474A
pre2000,US3658054A
pre2000,US3696808A
pre2000,US3706308A
pre2000,US3753433A
pre2000,US3760796A
pre2000,US3809069A
pre2000,US3821949A
pre2000,US3837331A
pre2000,US3841309A
pre2000,US3880144A
pre2000,US3890957A
pre2000,US3893450A
pre2000,US3901215A
pre2000,US3910258A
pre2000,US3958563A
pre2000,US3967616A
pre2000,US3978847A
pre2000,US3993046A
pre2000,US3998213A
pre2000,US4037586A
pre2000,US4083365A
pre2000,US4084583A
pre2000,US4085739A
pre2000,US4092981A
pre2000,US4170225A
pre2000,US4171696A
pre2000,US4201224A
pre2000,US4213465A
pre2000,US4214591A
pre2000,US4275744A
pre2000,US4407299A
pre2000,US4408616A
pre2000,US4411273A
pre2000,US4412547A
pre2000,US4416288A
pre2000,US4417591A
pre2000,US4417592A
pre2000,US4421122A
pre2000,US4462411A
pre2000,US4493327A
pre2000,US4498080A
pre2000,US4503863A
pre2000,US4550736A
pre2000,US4557270A
pre2000,US4579125A
pre2000,US4603703A
pre2000,US4610259A
pre2000,US4649482A
pre2000,US4697598A
pre2000,US4705049A
pre2000,US4736307A
pre2000,US4736751A
pre2000,US4744029A
pre2000,US4776345A
pre2000,US4794533A
pre2000,US4800895A
pre2000,US4873981A
pre2000,US4878498A
pre2000,US4883067A
pre2000,US4907597A
pre2000,US4913160A
pre2000,US4926969A
pre2000,US4932416A
pre2000,US4949725A
pre2000,US4953968A
pre2000,US4955388A
pre2000,US4974602A
pre2000,US4987903A
pre2000,US5003986A
pre2000,US5036858A
pre2000,US5047930A
pre2000,US5113870A
pre2000,US5170780A
pre2000,US5181520A
pre2000,US5213338A
pre2000,US5218530A
pre2000,US5243517A
pre2000,US5269302A
pre2000,US5299118A
pre2000,US5311876A
pre2000,US5311877A
pre2000,US5320109A
pre2000,US5349962A
pre2000,US5356368A
pre2000,US5363858A
pre2000,US5392788A
pre2000,US5447166A
pre2000,US5450855A
pre2000,US5460184A
pre2000,US5474082A
pre2000,US5495853A
pre2000,US5611350A
pre2000,US5626145A
pre2000,US5626627A
pre2000,US5638826A
pre2000,US5649061A
pre2000,US5729205A
pre2000,US5730146A
