pub,topic_code,topic_name,country,is_cn,year,func,scene,princ,in_degree
US20040102828A1,A61N1,电疗器械,美国,0,2003,刺激参数控制|植入颅内电极,神经刺激|脑电图分析,电极,244.0
US20060015153A1,A61N1,电疗器械,美国,0,2005,施加测试刺激信号|根据第一组刺激参数在第一时域上施加刺激|根据第二组刺激参数在第二时域上施加刺激|突发模式刺激|调节刺激参数,神经刺激,亚阈值、阈值和/或超阈值水平刺激|周期性、非周期性和/或伪随机方式刺激|固有脑电波频率,829.0
US20050021105A1,A61N1,电疗器械,美国,0,2004,对脑进行电刺激|将刺激部位神经元的静止膜电位增加到亚阈值水平|电信号递送|识别神经可塑性存在的位置|诱导神经可塑性,增强正常健康大脑的神经功能|治疗|神经治疗|脑深部刺激|脑疾病治疗,神经可塑性|静止膜电位增加到亚阈值水平,223.0
US20030130706A1,A61N1,电疗器械,美国,0,2002,将刺激部位神经元的静止膜电位增加到亚阈值水平|识别神经可塑性存在的位置|诱导神经可塑性|颅内电刺激,疼痛控制|脑损伤治疗|脑疾病治疗|认知增强,神经可塑性|脑的功能组织,238.0
US7146217B2,A61N1,电疗器械,美国,0,2002,使用电脉冲|对脑进行电刺激|将刺激部位神经元的静止膜电位增加到亚阈值水平|电信号递送|识别神经可塑性存在的位置,增强正常健康大脑的神经功能|治疗|神经治疗|脑深部刺激|脑疾病治疗,刺激部位神经元的静止膜电位增加到亚阈值水平|神经可塑性,204.0
US20080161879A1,A61B1,内窥镜检查,美国,0,2007,电脉冲刺激|识别神经可塑性存在的位置|诱导神经可塑性|颅内电刺激,增强正常健康大脑的神经功能|疼痛控制|脑损伤治疗|脑疾病治疗,亚阈值刺激|神经可塑性,86.0
US20080161880A1,A61N1,电疗器械,美国,0,2007,将刺激部位神经元的静止膜电位增加到亚阈值水平|识别神经可塑性存在的位置|诱导神经可塑性|颅内电刺激,增强正常健康大脑的神经功能|疼痛控制|脑损伤治疗|脑深部刺激|脑疾病治疗,亚阈值刺激|神经可塑性|脑的功能组织,80.0
US20080161881A1,A61N1,电疗器械,美国,0,2007,使用电脉冲|对脑进行电刺激|识别神经可塑性存在的位置|诱导神经可塑性,增强正常健康大脑的神经功能|治疗|神经治疗|脑深部刺激|脑疾病治疗,刺激部位神经元的静止膜电位增加到亚阈值水平|神经可塑性,101.0
US7010351B2,A61N1,电疗器械,美国,0,2001,将刺激部位神经元的静止膜电位增加到亚阈值水平|识别神经可塑性存在的位置|诱导神经可塑性|颅内电刺激,疼痛控制|脑损伤治疗|脑深部刺激|脑疾病治疗|认知增强,亚阈值刺激|神经可塑性|脑的功能组织,363.0
US20120041498A1,A61N1,电疗器械,美国,0,2011,周期性刺激施加|施加刺激信号|施加电磁刺激|调整刺激参数,患者|神经系统,亚阈值、阈值和/或超阈值水平刺激|电磁刺激|突发模式|降低的功耗,33.0
US20040019370A1,A61N1,电疗器械,美国,0,2003,施加测试刺激信号|监测患者响应|确定神经刺激阈值,长期监测和/或刺激,神经刺激阈值|第二神经刺激阈值,150.0
US20070043392A1,A61N1,电疗器械,美国,0,2006,施加测试刺激信号|生成第二刺激|确定神经刺激阈值,长期监测和/或刺激,神经刺激阈值|第二神经刺激阈值,87.0
US7620456B2,A61N1,电疗器械,美国,0,2006,施加测试刺激信号|生成第二刺激|确定神经刺激阈值,长期监测和/或刺激,,87.0
US20060200206A1,A61N1,电疗器械,美国,0,2006,电脉冲刺激|识别神经可塑性位置|诱导神经可塑性|颅内电刺激,疼痛控制|脑损伤治疗|脑深部刺激|脑疾病治疗|认知增强,刺激部位神经元的静止膜电位增加到亚阈值水平|神经可塑性,114.0
US7483747B2,A61N1,电疗器械,美国,0,2005,施加刺激信号|施加电磁刺激|采用周期性的、非周期性的(例如，混沌的)和/或伪随机的方式施加刺激,患者|神经系统,占空比、振幅、脉冲重复频率、脉冲宽度、时空和/或极性变化|电磁刺激|突发内刺激参数|突发间频率,333.0
US20060190056A1,A61N1,电疗器械,美国,0,2006,传感器与患者头部接触|刺激单元|可植入脉冲发生器,,信号极性偏置,113.0
US7684866B2,A61N1,电疗器械,美国,0,2004,以第一信号极性偏置|以第二信号极性偏置,神经刺激,,186.0
US20090182391A1,A61N1,电疗器械,美国,0,2008,信号极性偏置|可植入脉冲发生器|神经刺激,,刺激单元|导电元件|支撑构件|第一端子|第二端子,7.0
WO2006019764A2,A61N1,电疗器械,世界知识产权组织,0,2005,分时域刺激|周期性、非周期性（混沌）、伪随机方式刺激|改变intraburst刺激参数|改变占空周期、振幅、脉冲重复频率、脉冲宽度、时空、极性|施加亚阈值、阈值、suprathreshold水平的刺激|施加测试刺激信号|调节刺激参数,神经系统刺激,刺激信号提供减少功率消耗与至少足够的症状缓解|固有脑电波频率,61.0
US8126562B2,A61N1,电疗器械,美国,0,2008,传感器与患者头部接触|刺激单元|可植入脉冲发生器,,信号极性偏置|刺激部位,31.0
WO2004066820A2,,,世界知识产权组织,0,2004,测试程序|确定刺激阈值,神经刺激,神经刺激阈值|第二神经刺激阈值,38.0
CN111200967A,A61B5,身体诊断测量,中国,1,2018,产生刺激|在施加所述第一刺激期间至少部分地检测由植入所述大脑中的所述至少一个电极中的一个或多个处的神经元活动引起的在约200Hz与约500Hz之间的高频振荡(HFO)|施加刺激到电极|确定所述HFO的一个或多个波形特性,,,2.0
CN111200967B,A61B5,身体诊断测量,中国,1,2018,产生包括第二多个刺激突发的第二刺激，其中所述第二刺激的一个或多个波形特性取决于所述HFO的一个或多个波形特性|在施加所述第一刺激期间至少部分地检测由植入所述大脑中的所述至少一个电极中的一个或多个处的神经元活动引起的在约200Hz与约500Hz之间的高频振荡(HFO)|施加刺激到电极|确定所述HFO的一个或多个波形特性,,,0.0
EP3629913B1,A61B5,身体诊断测量,欧洲专利局,0,2018,施加第二刺激|生成第二刺激|确定波形特征|神经活动检测|递送第二刺激,大脑刺激监测,波形特征反馈调节刺激|神经元活动产生高频振荡,1.0
EP3629913C0,A61B5,身体诊断测量,欧洲专利局,0,2018,施加第二刺激|生成第二刺激|确定波形特征|神经活动检测|递送第二刺激,神经活动监测,刺激响应机制|高频振荡特征反馈,0.0
US6873872B2,A61N1,电疗器械,美国,0,2002,施加定向电场|测量神经元活性|细胞分化,帕金森病|感觉（味道或气味）|活动识别|癫痫,亚阈值电场有效减少脑的异常活动|电场的大小和极性响应于所测量的神经元活性而改变,192.0
US20090018609A1,A61N1,电疗器械,美国,0,2008,治疗参数产生|神经响应确定|神经控制系统|闭环控制,神经系统部件调节|精神疾病|颅内(IC)刺激,治疗参数产生|神经响应导出|闭环反馈驱动,194.0
WO2012088482A1,A61N1,电疗器械,世界知识产权组织,0,2011,度量值比较|神经响应确定|调节电流|输送电能量|选择电极配置|重复步骤,神经刺激,度量值与参考阈值比较|神经反应诱导预测,91.0
US11583678B2,A61B5,身体诊断测量,美国,0,2020,从神经信号检测神经反应的一个或多个属性|使用多个电极递送神经刺激能量|针对神经退行性疾病的一个或多个指示分析神经反应的检测到的一个或多个属性,患者,神经反应的一个或多个属性|神经退行性疾病的一个或多个指示,2.0
US20110313483A1,A61N1,电疗器械,美国,0,2011,捕获验证|检测诱发响应|调整刺激参数,神经刺激,通过检测诱发响应来验证刺激是否捕获迷走神经,101.0
US6819956B2,A61N1,电疗器械,美国,0,2001,感觉反馈|治疗参数导出|神经调制,神经疾病治疗|运动障碍治疗,治疗响应|神经活动调节|神经疾病状态,654.0
US20100023089A1,A61M37,药物导入装置,美国,0,2009,产生神经调节信号|从对先前递送的神经调制信号的神经响应中导出治疗参数|神经控制系统|通过一个或多个神经调节器递送到神经系统部件,神经系统,感测指示神经或精神状况的特定特征|神经调节信号控制神经状态,117.0
US6366813B1,A61N1,电疗器械,美国,0,1999,以感觉反馈形式的神经响应确定治疗参数|根据治疗参数产生神经调制信号|治疗参数导出,神经疾病|颅内刺激,神经活动调节,1108.0
US20080103547A1,A61N1,电疗器械,美国,0,2007,使用两个或多个电引线|用多根电极刺激受试者的丘脑腹侧中间核(VIM)和口腹侧核(VOA/VOP),代谢/进食障碍|治疗多种脑相关疾病|深部脑刺激(DBS)手术|疼痛控制|精神疾病|记忆障碍|运动相关疾病,,114.0
CN108309285A,A61B5,身体诊断测量,中国,1,2017,决定频率比例关系|取得脑电讯号|频域分析处理,生理共振刺激|电刺激,生理共振|频率比例关系,16.0
