pub,theme_id,theme_name
WO2004066820A2,C8,神经刺激监测装置
CN111200967A,C4,神经刺激调控系统
CN111200967B,C35,神经刺激参数优化
EP3629913B1,C8,神经刺激监测装置
EP3629913C0,C8,神经刺激监测装置
US6873872B2,C37,神经调节刺激控制
US20090018609A1,C24,闭环神经调控系统
WO2012088482A1,C35,神经刺激参数优化
US11583678B2,C17,神经反馈刺激分析
US20110313483A1,C37,神经调节刺激控制
US20040102828A1,C9,经颅聚焦刺激装置
US20060015153A1,C35,神经刺激参数优化
US20050021105A1,C29,深部脑刺激调控
US20030130706A1,C9,经颅聚焦刺激装置
US7146217B2,C29,深部脑刺激调控
US20080161879A1,C9,经颅聚焦刺激装置
US20080161880A1,C29,深部脑刺激调控
US20080161881A1,C29,深部脑刺激调控
US7010351B2,C9,经颅聚焦刺激装置
US20120041498A1,C35,神经刺激参数优化
US20040019370A1,C8,神经刺激监测装置
US20070043392A1,C8,神经刺激监测装置
US7620456B2,C8,神经刺激监测装置
US20060200206A1,C9,经颅聚焦刺激装置
US7483747B2,C36,自适应神经刺激调控
US20060190056A1,C37,神经调节刺激控制
US7684866B2,C8,神经刺激监测装置
US20090182391A1,C8,神经刺激监测装置
WO2006019764A2,C37,神经调节刺激控制
US8126562B2,C37,神经调节刺激控制
US7050856B2,C35,神经刺激参数优化
WO2020003173A1,C29,深部脑刺激调控
WO9745160A1,C10,神经信息分析诊断
WO2012129574A2,C4,神经刺激调控系统
WO2022182892A1,C29,深部脑刺激调控
WO2022033039A1,C26,神经刺激电极装置
US20230381512A1,C4,神经刺激调控系统
US20140243931A1,C35,神经刺激参数优化
WO2011013041A1,C8,神经刺激监测装置
US20010029391A1,C37,神经调节刺激控制
US6819956B2,C8,神经刺激监测装置
US20100023089A1,C37,神经调节刺激控制
US6366813B1,C17,神经反馈刺激分析
US200801035047A1,C37,神经调节刺激控制
CN108309285A,C0,脑电情绪识别分析
US8855775B2,C35,神经刺激参数优化
US8524311B1,C26,神经刺激电极装置
US20050154435A1,C35,神经刺激参数优化
CN117180612B,C18,神经刺激同步递送
CN117180612A,C18,神经刺激同步递送
US2016220836A1,C37,神经调节刺激控制
CN110325237A,C10,神经信息分析诊断
EP1335668A1,C8,神经刺激监测装置
EP1335668B1,C8,神经刺激监测装置
WO2021118383A1,C4,神经刺激调控系统
JP2023509633A,C29,深部脑刺激调控
EP4221819A1,C29,深部脑刺激调控
US20020072770A1,C18,神经刺激同步递送
US20020077670A1,C18,神经刺激同步递送
US7174213B2,C18,神经刺激同步递送
WO2010055421A1,C26,神经刺激电极装置
US20240226565A9,C6,电极阵列植入制造
US6665562B2,C37,神经调节刺激控制
US10449357B2,C8,神经刺激监测装置
US20040186532A1,C26,神经刺激电极装置
US12377274B2,C33,神经信号采集解码
US20250010078A1,C8,神经刺激监测装置
US20110130615A1,C8,神经刺激监测装置
US12376780B2,C4,神经刺激调控系统
EP3684463A1,C28,脑波交互反馈系统
WO2007049105A1,C36,自适应神经刺激调控
WO2023081218A1,C33,神经信号采集解码
CA3237603A1,C33,神经信号采集解码
US8412332B2,C35,神经刺激参数优化
US8521294B2,C3,脑电状态检测评估
US11712564B2,C35,神经刺激参数优化
US20220266022A1,C24,闭环神经调控系统
EP4429757A4,C24,闭环神经调控系统
JP5775066B2,C8,神经刺激监测装置
US9199089B2,C24,闭环神经调控系统
US9440064B2,C18,神经刺激同步递送
DE102012002437A1,C18,神经刺激同步递送
WO2023147514A1,C18,神经刺激同步递送
KR102928977B1,C29,深部脑刺激调控
US20230055962A1,C4,神经刺激调控系统
US2020138324A1,C8,神经刺激监测装置
US12409325B2,C8,神经刺激监测装置
WO2024178317A3,C24,闭环神经调控系统
US11992685B2,C18,神经刺激同步递送
CN108379736B,C18,神经刺激同步递送
US20100130844A1,C6,电极阵列植入制造
WO0141867A1,C37,神经调节刺激控制
US20040158298A1,C35,神经刺激参数优化
US6339725B1,C37,神经调节刺激控制
US8489185B2,C8,神经刺激监测装置
CN108379736A,C4,神经刺激调控系统
US20070043401A1,C14,脑电信号采集处理
US20080004660A1,C37,神经调节刺激控制
WO2018213872A1,C4,神经刺激调控系统
WO2025083498A1,C8,神经刺激监测装置
CN112450939A,C26,神经刺激电极装置
CN121360335A,C26,神经刺激电极装置
WO2025189249A1,C24,闭环神经调控系统
US6915166B1,C26,神经刺激电极装置
US10940316B2,C37,神经调节刺激控制
CN222444132U,C2,柔性电极采集装置
US20100222844A1,C4,神经刺激调控系统
US20080300655A1,C8,神经刺激监测装置
US9943689B2,C35,神经刺激参数优化
US20240335663A1,C35,神经刺激参数优化
CN110495880A,C0,脑电情绪识别分析
WO2010025226A1,C24,闭环神经调控系统
CN119970047A,C2,柔性电极采集装置
US3841310A,C6,电极阵列植入制造
EP2617459B1,C31,植入式神经接口系统
WO2022174312A1,C35,神经刺激参数优化
WO2011046665A1,C12,视觉脑电解码评估
US12201841B2,C2,柔性电极采集装置
US20130289683A1,C8,神经刺激监测装置
US8718778B2,C9,经颅聚焦刺激装置
US20090234419A1,C13,多模态神经交互评估
US7555344B2,C35,神经刺激参数优化
WO2017143185A1,C8,神经刺激监测装置
WO2021146774A1,C8,神经刺激监测装置
WO2025264492A1,C36,自适应神经刺激调控
US10596379B2,C9,经颅聚焦刺激装置
US2022152392A1,C29,深部脑刺激调控
CN210843047U,C41,脑电电极采集装置
CN117398112A,C4,神经刺激调控系统
US8892208B2,C29,深部脑刺激调控
US8386007B2,C4,神经刺激调控系统
WO2011136870A1,C2,柔性电极采集装置
US10434302B2,C2,柔性电极采集装置
US20070100392A1,C8,神经刺激监测装置
US2019381317A1,C8,神经刺激监测装置
CN102886102A,C4,神经刺激调控系统
WO2007042999A2,C6,电极阵列植入制造
US9364659B1,C29,深部脑刺激调控
JP2024512411A,C4,神经刺激调控系统
US20070265489A1,C27,认知意识神经评估
WO2026060925A1,C13,多模态神经交互评估
US20100185256A1,C35,神经刺激参数优化
CN104689470A,C18,神经刺激同步递送
US20050256539A1,C8,神经刺激监测装置
US12102827B2,C24,闭环神经调控系统
US9220897B2,C18,神经刺激同步递送
CN121219043A,C11,睡眠脑电调控增强
US20210346699A1,C35,神经刺激参数优化
US9744356B2,C3,脑电状态检测评估
US7236830B2,C8,神经刺激监测装置
US2018221620A1,C8,神经刺激监测装置
