主题码,主题名,n_国内,n_国外,F_AB,C_AB,H_AB,S_AB,F_J,C_J,H_J,g_A,g_B,G_AB,p_A初期,p_A末期,p_B初期,p_B末期,Δp_A,Δp_B,T_AB,M_AB,K_B,A_B,V_B,R_AB,标记,问题相似度,风险排名
A01B5,农业耕作机具,1,0,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,1.0,-4.288710451830871e-17,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,,,,样本不足;未达标;无高价值专利,,
A01N63,微生物及酶处理,0,1,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,1.0,0.0,-4.288710451830871e-17,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,1.0,0.25,样本不足;未达标,,45.0
A42B1,帽子头饰,0,1,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.1584336412708446,0.5785605957536449,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5392802978768225,1.0,,,,样本不足;未达标;无高价值专利,,
A61B1,内窥镜检查,0,2,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.2511113802669965,0.6229815458180177,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5614907729090088,1.0,0.0,1.0,0.26024846215150144,样本不足;未达标,,33.0
A61B10,采样及活体检查,2,4,0.5252884030342102,0.4869689345359802,0.5191756784915924,0.5104776720205942,0.0,0.0,1.0,0.28250030280037103,0.3876757280009355,0.5523946606137521,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5261973303068761,0.75,,,,样本不足;未达标;无高价值专利,,
A61B13,心理检查器械,0,1,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.1584336412708446,0.5785605957536449,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5392802978768225,1.0,0.0,1.0,0.25654671631280374,样本不足;未达标,,37.0
A61B17,外科器械,1,1,0.3872140944004059,0.3021566867828369,0.6422716379165649,0.44388080636660254,0.0,0.0,1.0,0.09902102579427785,0.09902102579427792,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.9841269841269841,0.0,0.9920634920634921,0.3311491730036559,样本不足;未达标,,18.0
A61B18,外科电热器械,0,6,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.4513707523863049,0.7115125567207832,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.6057562783603916,1.0,0.0,1.0,0.2676260463933986,样本不足;未达标,,22.0
A61B19,手术辅助器械,0,2,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.26269609764151547,0.6284077749931872,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5642038874965936,1.0,0.0,1.0,0.2607006479160989,样本不足;未达标,,31.0
A61B3,眼科诊断器械,0,9,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.3704253388744996,0.6771818480250752,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5885909240125375,1.0,0.0,1.0,0.26476515400208955,样本不足;未达标,,26.0
A61B34,手术导航系统,1,3,0.5748941898345947,0.5542333126068115,0.48727351427078247,0.5388003389040629,0.0,0.0,1.0,0.09902102579427785,0.32359774172205397,0.6104379359454203,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5552189679727102,0.9803921568627451,0.0,0.9901960784313726,0.41633507537497894,样本不足;未达标,,7.0
A61B5,身体诊断测量,307,814,0.7616274356842041,0.7950596809387207,0.2706703543663025,0.6091191569964091,0.039280958721704395,0.07640232108317214,0.9676739283204497,1.175052051667515,0.5811437227525803,0.2336496521750212,0.0,0.0,0.08241758241758242,0.39473684210526316,0.0,0.31231925968768076,0.651272770924095,0.4424612115495581,0.925547071932196,0.029850746268656716,0.9478481628317696,0.4234320370436796,未达标,,5.0
A61B50,手术器械容器,0,2,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.21635722814343952,0.6065216689022989,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5532608344511494,1.0,,,,样本不足;未达标;无高价值专利,,
A61B6,放射诊断设备,0,5,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.43572475673424543,0.7050472220601718,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.6025236110300859,1.0,0.0,1.0,0.2670872685050143,样本不足;未达标,,23.0
A61B7,听诊器具,0,1,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.17823784642970017,0.5881870317622027,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5440935158811013,1.0,,,,样本不足;未达标;无高价值专利,,
A61B8,超声诊断,0,1,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.09902102579427785,0.5493493254963752,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5246746627481875,1.0,,,,样本不足;未达标;无高价值专利,,
A61B90,手术辅助配件,2,2,0.685092568397522,0.6748257875442505,0.17730259895324707,0.5124069849650065,0.06666666666666667,0.0,0.8,0.15694461266687276,0.21635722814343952,0.529671403994872,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.514835701997436,0.5,,,,样本不足;未达标;无高价值专利,,
A61F11,耳科治疗器具,0,4,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.3742470528796289,0.6788504838608003,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5894252419304001,1.0,0.0,1.0,0.2649042069884,样本不足;未达标,,25.0
A61F2,植入假体,1,5,0.4310886263847351,0.6166777610778809,0.5747368335723877,0.5408344070116679,0.0,0.0,1.0,0.09902102579427785,0.20072966613252904,0.5506796860724854,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5253398430362427,0.9959839357429718,0.0,0.9979919678714859,0.4119351283171458,样本不足;未达标,,8.0
A61F4,辅助行走器具,0,1,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.1584336412708446,0.5785605957536449,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5392802978768225,1.0,,,,样本不足;未达标;无高价值专利,,
A61F7,热疗冷疗器具,0,1,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.17823784642970017,0.5881870317622027,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5440935158811013,1.0,,,,样本不足;未达标;无高价值专利,,
A61G5,轮椅及移动,1,2,0.511396050453186,0.5393880605697632,0.18817436695098877,0.41298615932464594,0.0,0.0,1.0,0.09902102579427785,0.15694461266687276,0.5289294465379358,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5144647232689679,0.6666666666666666,,,,样本不足;未达标;无高价值专利,,
A61H1,物理康复器械,0,2,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.2511113802669965,0.6229815458180177,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5614907729090088,1.0,,,,样本不足;未达标;无高价值专利,,
A61H15,按摩滚轮,0,1,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.1584336412708446,0.5785605957536449,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5392802978768225,1.0,,,,样本不足;未达标;无高价值专利,,
A61H23,振动按摩器,0,2,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.2709155854258521,0.6322382918337158,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.566119145916858,1.0,0.0,1.0,0.26101985765280966,样本不足;未达标,,30.0
A61H3,助行器具,0,1,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.09902102579427785,0.5493493254963752,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5246746627481875,1.0,,,,样本不足;未达标;无高价值专利,,
A61H99,理疗其他器械,0,1,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.09902102579427785,0.5493493254963752,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5246746627481875,1.0,,,,样本不足;未达标;无高价值专利,,
A61K31,有机药物制剂,0,1,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.09902102579427792,0.5493493254963753,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5246746627481876,1.0,,,,样本不足;未达标;无高价值专利,,
A61M16,呼吸通气装置,0,1,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.09902102579427792,0.5493493254963753,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5246746627481876,1.0,0.0,1.0,0.25411244379136455,样本不足;未达标,,42.0
A61M21,精神治疗装置,14,26,0.646164059638977,0.6458961963653564,0.3664088249206543,0.5528230269749959,0.0,0.04081632653061224,1.0,0.5404436975198631,0.703630041712731,0.5808765351964197,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5404382675982098,0.7737226277372263,0.0,0.8868613138686132,0.3945220375133169,,,11.0
A61M27,引流装置,0,1,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.1584336412708446,0.5785605957536449,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5392802978768225,1.0,,,,样本不足;未达标;无高价值专利,,
A61M31,体腔给药器,1,0,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,1.0,0.17823784642970017,0.0,0.41181296823779734,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.45590648411889867,0.0,,,,样本不足;未达标;无高价值专利,,
A61M37,药物导入装置,0,2,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.2511113802669965,0.6229815458180177,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5614907729090088,1.0,0.0,1.0,0.26024846215150144,样本不足;未达标,,32.0
A61M5,注射器械,1,1,0.5023646354675293,0.7027057409286499,0.4911946654319763,0.5654216806093851,0.0,0.0,1.0,0.17823784642970017,0.17823784642970017,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.9090909090909091,,,,样本不足;未达标;无高价值专利,,
A61N1,电疗器械,84,657,0.7492566108703613,0.7753615379333496,0.29405057430267334,0.606222907702128,0.020871700429711478,0.029900332225913623,0.9792207792207792,0.9701568190315927,0.5641867204749781,0.3074772056295466,0.0,0.0,0.027472527472527472,0.0,0.0,-0.027472527472527472,0.48626719098893073,0.3968721983092387,0.9886160998598904,0.011363636363636364,0.988626231748127,0.4199604434430549,未达标,,6.0
A61N2,磁疗器械,4,20,0.6166909337043762,0.6284937858581543,0.4140843152999878,0.5530896782875061,0.0,0.0,1.0,0.2893323172528667,0.6099435630924238,0.6550297542158668,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5775148771079335,0.9541984732824428,0.0,0.9770992366412214,0.42992051001736825,,,2.0
A61N5,放射治疗,1,8,0.6695383787155151,0.515390157699585,0.3967016935348511,0.5272100766499836,0.043478260869565216,0.0,1.0,0.09902102579427785,0.29340740512868096,0.5959872310546415,0.0,0.0,0.005494505494505495,0.0,0.0,-0.005494505494505495,0.49725277489855857,0.5466200029766,0.9963369963369964,0.0,0.9981684981684982,0.40721403204836026,样本不足,,9.0
