主题码,主题名,n_国内,n_国外,F_AB,C_AB,H_AB,S_AB,F_J,C_J,H_J,g_A,g_B,G_AB,p_A初期,p_A末期,p_B初期,p_B末期,Δp_A,Δp_B,T_AB,M_AB,K_B,A_B,V_B,R_AB,标记,风险排名
A01B5,农业耕作机具,1,0,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,1.0,-4.288710451830871e-17,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,,,,样本不足;未达标;无高价值专利,
A42B1,帽子头饰,0,1,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.1584336412708446,0.5785605957536449,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5392802978768225,1.0,,,,样本不足;未达标;无高价值专利,
A61B1,内窥镜检查,0,2,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.2511113802669965,0.6229815458180177,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5614907729090088,1.0,0.0,1.0,0.26024846215150144,样本不足;未达标,25.0
A61B10,采样及活体检查,2,4,0.5252884030342102,0.4869689345359802,0.5191756784915924,0.5104776720205942,0.0,0.0,1.0,0.28250030280037103,0.3876757280009355,0.5523946606137521,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5261973303068761,0.75,,,,样本不足;未达标;无高价值专利,
A61B13,心理检查器械,0,1,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.1584336412708446,0.5785605957536449,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5392802978768225,1.0,0.0,1.0,0.25654671631280374,样本不足;未达标,30.0
A61B17,外科器械,1,1,0.3872140944004059,0.3021566867828369,0.6422716379165649,0.44388080636660254,0.0,0.0,1.0,0.09902102579427785,0.09902102579427792,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.9841269841269841,0.0,0.9920634920634921,0.3311491730036559,样本不足;未达标,14.0
A61B18,外科电热器械,0,2,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.2511113802669965,0.6229815458180177,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5614907729090088,1.0,0.0,1.0,0.26024846215150144,样本不足;未达标,24.0
A61B19,手术辅助器械,0,2,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.26269609764151547,0.6284077749931872,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5642038874965936,1.0,0.0,1.0,0.2607006479160989,样本不足;未达标,22.0
A61B3,眼科诊断器械,0,8,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.3482884483144865,0.6674283896308598,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5837141948154299,1.0,0.0,1.0,0.26395236580257164,样本不足;未达标,19.0
A61B34,手术导航系统,1,2,0.5490493178367615,0.5472170114517212,0.6032894849777222,0.5665186047554016,0.0,0.0,1.0,0.09902102579427785,0.2361614333022951,0.5681435354524574,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5340717677262288,0.5,,,,样本不足;未达标;无高价值专利,
A61B5,身体诊断测量,295,761,0.7608820199966431,0.7928061485290527,0.2710522413253784,0.6082468032836914,0.03848845346396081,0.07763023493360573,0.9682890855457227,1.166662740231025,0.5865065950129847,0.23861054498827147,0.0,0.0,0.13513513513513514,0.5172413793103449,0.0,0.3821062441752097,0.6822676110942613,0.4604390780412664,0.9202790435098189,0.032,0.9441395217549094,0.42716522164335363,未达标,5.0
A61B50,手术器械容器,0,2,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.21635722814343952,0.6065216689022989,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5532608344511494,1.0,,,,样本不足;未达标;无高价值专利,
A61B6,放射诊断设备,0,4,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.3940512580384844,0.6874237588508746,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5937118794254372,1.0,0.0,1.0,0.26561864657090617,样本不足;未达标,17.0
A61B7,听诊器具,0,1,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.17823784642970017,0.5881870317622027,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5440935158811013,1.0,,,,样本不足;未达标;无高价值专利,
A61B8,超声诊断,0,1,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.09902102579427785,0.5493493254963752,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5246746627481875,1.0,,,,样本不足;未达标;无高价值专利,
A61B90,手术辅助配件,2,2,0.685092568397522,0.6748257875442505,0.17730259895324707,0.5124069849650065,0.06666666666666667,0.0,0.8,0.15694461266687276,0.21635722814343952,0.529671403994872,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.514835701997436,0.5,,,,样本不足;未达标;无高价值专利,
A61F11,耳科治疗器具,0,2,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.2511113802669965,0.6229815458180177,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5614907729090088,1.0,0.0,1.0,0.26024846215150144,样本不足;未达标,26.0
A61F2,植入假体,1,4,0.427076518535614,0.617859959602356,0.5685569643974304,0.5378311475118001,0.0,0.0,1.0,0.09902102579427785,0.1903112914585888,0.5455187532606741,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5227593766303371,0.9957446808510638,0.0,0.9978723404255319,0.40892155066349845,样本不足;未达标,7.0
A61F4,辅助行走器具,0,1,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.1584336412708446,0.5785605957536449,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5392802978768225,1.0,,,,样本不足;未达标;无高价值专利,
A61F7,热疗冷疗器具,0,1,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.17823784642970017,0.5881870317622027,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5440935158811013,1.0,,,,样本不足;未达标;无高价值专利,
A61G5,轮椅及移动,1,2,0.511396050453186,0.5393880605697632,0.18817436695098877,0.41298615932464594,0.0,0.0,1.0,0.09902102579427785,0.15694461266687276,0.5289294465379358,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5144647232689679,0.6666666666666666,,,,样本不足;未达标;无高价值专利,
A61H1,物理康复器械,0,1,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.1584336412708446,0.5785605957536449,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5392802978768225,1.0,,,,样本不足;未达标;无高价值专利,
A61H15,按摩滚轮,0,1,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.1584336412708446,0.5785605957536449,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5392802978768225,1.0,,,,样本不足;未达标;无高价值专利,
