pub,主题码,主题名,标题_中文,country,year
CA2909017A1,C0,脑电情绪识别分析,响应于视觉刺激脑电信号分类,加拿大,2014
CA2909017C,C0,脑电情绪识别分析,对视觉刺激的EEG信号进行分类,加拿大,2014
CN102389306A,C0,脑电情绪识别分析,脑电图伪差自动识别方法和采用该方法的自动识别脑电图仪,中国,2011
CN106691378A,C0,脑电情绪识别分析,一种基于脑电图数据的深度学习视觉分类方法,中国,2016
CN108309285A,C0,脑电情绪识别分析,生理共振刺激方法与系统以及电刺激方法与装置,中国,2017
CN108334766A,C0,脑电情绪识别分析,电子装置、解锁方法及相关产品,中国,2018
CN108334766B,C0,脑电情绪识别分析,电子装置、解锁方法及相关产品,中国,2018
CN109726751B,C0,脑电情绪识别分析,-,中国,2018
CN109938725A,C0,脑电情绪识别分析,脑电信号处理方法和系统,中国,2017
CN110251124A,C0,脑电情绪识别分析,一种有效性脑网络的确定方法及系统,中国,2019
CN110495880A,C0,脑电情绪识别分析,基于经颅电刺激脑肌耦合的运动障碍皮层可塑性管理方法,中国,2019
CN111466931A,C0,脑电情绪识别分析,基于EEG和食物图片数据集的情感识别方法,中国,2020
CN111616721A,C0,脑电情绪识别分析,-,中国,2020
CN111616721B,C0,脑电情绪识别分析,基于深度学习和脑机接口的情绪识别系统及应用,中国,2020
CN113057657A,C0,脑电情绪识别分析,基于多尺度连通性特征和元迁移学习的脑电情绪分类方法,中国,2021
CN113057657B,C0,脑电情绪识别分析,基于多尺度连通性特征和元迁移学习的脑电情绪分类方法,中国,2021
CN113095428B,C0,脑电情绪识别分析,一种融合脑电和刺激源信息的视频情感分类方法及系统,中国,2021
CN113180663A,C0,脑电情绪识别分析,一种基于卷积神经网络的情绪识别方法、系统,中国,2021
CN113397559B,C0,脑电情绪识别分析,立体定向脑电图分析方法、装置、计算机设备及存储介质,中国,2021
CN113476059A,C0,脑电情绪识别分析,一种基于振幅整合脑电图判断左右脑对称性的方法,中国,2021
CN114048780A,C0,脑电情绪识别分析,基于联邦学习的脑电信号分类模型训练方法及装置,中国,2021
CN114048780B,C0,脑电情绪识别分析,基于联邦学习的脑电信号分类模型训练方法及装置,中国,2021
CN114242202A,C0,脑电情绪识别分析,脑卒中手部康复训练方法、装置及系统,中国,2021
CN114242202B,C0,脑电情绪识别分析,脑卒中手部康复训练方法、装置及系统,中国,2021
CN114601476A,C0,脑电情绪识别分析,-,中国,2022
CN114756121A,C0,脑电情绪识别分析,-,中国,2022
CN114767130A,C0,脑电情绪识别分析,基于多尺度成像的多模态特征融合脑电情感识别方法,中国,2022
CN114841192A,C0,脑电情绪识别分析,一种基于强化学习联合去噪与时空关系建模的脑电信号特征增强方法,中国,2022
CN115349874A,C0,脑电情绪识别分析,基于多粒度信息的快速序列视觉呈现脑电图信号分类方法,中国,2022
CN115591113A,C0,脑电情绪识别分析,一种闭环电刺激系统,中国,2022
CN115758113A,C0,脑电情绪识别分析,面向快速序列视觉呈现脑-机接口的事件相关电位增强分类方法,中国,2022
CN115886841A,C0,脑电情绪识别分析,-,中国,2022
CN115886841B,C0,脑电情绪识别分析,-,中国,2022
CN116027890A,C0,脑电情绪识别分析,一种基于脑电信号的在线注意力检测系统及检测方法,中国,2022
