主题码,主题名,专利数,国内专利,国外专利
C0,脑电情绪识别分析,103,45,58
C1,脑电特征提取分类,35,15,20
C2,柔性电极采集装置,115,45,70
C3,脑电状态检测评估,63,13,50
C4,神经刺激调控系统,103,19,84
C5,眼动脑电视觉分析,48,21,27
C6,电极阵列植入制造,61,19,42
C7,视觉刺激脑电分析,58,10,48
C8,神经刺激监测装置,139,11,128
C9,经颅聚焦刺激装置,59,12,47
C10,神经信息分析诊断,41,5,36
C11,睡眠脑电调控增强,67,16,51
C12,视觉脑电解码评估,56,26,30
C13,多模态神经交互评估,82,39,43
C14,脑电信号采集处理,112,46,66
C15,心理生理反馈调节,20,2,18
C16,事件相关电位检测,41,4,37
C17,神经反馈刺激分析,71,13,58
C18,神经刺激同步递送,38,7,31
C19,脑机接口交互控制,72,19,53
C20,脑控轮椅交互系统,12,2,10
C21,多模态脑电融合分析,58,12,46
C22,脑机虚拟交互控制,27,9,18
C23,生物信号虚拟交互,30,4,26
C24,闭环神经调控系统,36,12,24
C25,脑电信号模式识别,38,8,30
C26,神经刺激电极装置,57,14,43
C27,认知意识神经评估,43,12,31
C28,脑波交互反馈系统,55,11,44
C29,深部脑刺激调控,95,12,83
C30,脑电神经反馈康复训练,44,17,27
C31,植入式神经接口系统,22,0,22
C32,脑电信号评估分析,75,27,48
C33,神经信号采集解码,82,15,67
C34,脑电图像生成与映射,63,24,39
C35,神经刺激参数优化,68,12,56
C36,自适应神经刺激调控,20,5,15
C37,神经调节刺激控制,72,13,59
C38,事件相关电位分析,12,5,7
C39,脑活动监测与解码,41,6,35
C40,脑电虚拟现实交互,21,16,5
C41,脑电电极采集装置,60,20,40
C42,脑电听觉调控降噪,25,5,20
C43,癫痫监测预测干预,24,3,21
C44,脑电频率识别分析,16,3,13
