主题码,主题名,n_国内,n_国外,F_AB,C_AB,H_AB,S_AB,F_J,C_J,H_J,g_A,g_B,G_AB,p_A初期,p_A末期,p_B初期,p_B末期,Δp_A,Δp_B,T_AB,M_AB,K_B,A_B,V_B,R_AB,标记,问题相似度,风险排名
C0→C1,脑电情绪识别分析→脑电特征提取分类,45,20,0.7125487327575684,0.7086493372917175,0.3279372453689575,0.5830451051394144,0.023622047244094488,0.031746031746031744,0.9824561403508771,0.7866057781540008,0.6932301006799398,0.4534473803802056,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.4767236901901028,0.45263157894736844,,,,无高价值专利,0.6550671458244324,
C0→C10,脑电情绪识别分析→神经信息分析诊断,45,36,0.6584027409553528,0.6822499632835388,0.36590576171875,0.5688528219858805,0.0035587188612099642,0.025974025974025976,0.984,0.7866057781540008,0.5811448339517777,0.3986910902200911,0.0,0.0,0.0,0.13793103448275862,0.0,0.13793103448275862,0.5685314644405662,0.48361127733032866,0.9879379666858128,0.0,0.9939689833429064,0.6315509374461116,,0.6175863742828369,660.0
C0→C11,脑电情绪识别分析→睡眠脑电调控增强,45,51,0.7077780365943909,0.6918668746948242,0.3465830087661743,0.5820759733517964,0.01775147928994083,0.009174311926605505,0.9865771812080537,0.7866057781540008,0.6835550559100223,0.4486562577950313,0.0,0.0,0.009009009009009009,0.0,0.0,-0.009009009009009009,0.49549561735676945,0.4720759375759004,0.949193066347878,0.0,0.974596533173939,0.6349271415093621,,0.6299048662185669,504.0
C0→C12,脑电情绪识别分析→视觉脑电解码评估,45,30,0.700844407081604,0.6592779159545898,0.35436105728149414,0.571494460105896,0.0035587188612099642,0.011494252873563218,0.9831932773109243,0.7866057781540008,0.7829175892646888,0.49815591391687586,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.49907795695843793,0.6666666666666666,0.0,0.8333333333333333,0.6076458529145607,,0.6224123239517212,1516.0
C0→C13,脑电情绪识别分析→多模态神经交互评估,45,43,0.7286351919174194,0.7263693809509277,0.3212629556655884,0.5920891761779785,0.0057306590257879654,0.0,0.9867549668874173,0.7866057781540008,0.6373326104204997,0.42591288196254007,0.0,0.0,0.009009009009009009,0.1724137931034483,0.0,0.1634047840944393,0.5809828937506275,0.5034478878565838,0.8674772036474164,0.0,0.9337386018237082,0.6397724364396076,,0.6817888021469116,325.0
C0→C14,脑电情绪识别分析→脑电信号采集处理,45,66,0.7153654098510742,0.7389340400695801,0.32255983352661133,0.5922864278157552,0.0024630541871921183,0.029850746268656716,0.9760479041916168,0.7866057781540008,0.679455675419048,0.4466290456790701,0.0,0.0,0.009009009009009009,0.0,0.0,-0.009009009009009009,0.49549561735676945,0.47106233151791976,0.7874493927125507,0.0,0.8937246963562753,0.6268058262871127,,0.7009575366973877,856.0
C0→C15,脑电情绪识别分析→心理生理反馈调节,45,18,0.6291906833648682,0.6594606637954712,0.39731305837631226,0.5619881351788838,0.004405286343612335,0.028169014084507043,1.0,0.7866057781540008,0.5865596100887834,0.4012901553421619,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.450645077671081,0.8366666666666667,0.0,0.9183333333333333,0.6081110982233706,,0.594642162322998,1501.0
C0→C16,脑电情绪识别分析→事件相关电位检测,45,37,0.6800087690353394,0.6694592237472534,0.3566969633102417,0.5687216520309448,0.006578947368421052,0.011764705882352941,0.9920634920634921,0.7866057781540008,0.4632333326977074,0.34372344316126935,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.4218617215806347,0.9571865443425076,0.0,0.9785932721712538,0.6180669512688697,,0.6341897249221802,1203.0
C0→C17,脑电情绪识别分析→神经反馈刺激分析,45,58,0.7043451070785522,0.6803210973739624,0.35229331254959106,0.5789865056673685,0.005988023952095809,0.007633587786259542,1.0,0.7866057781540008,0.6150229443551454,0.41504070409165256,0.0,0.0,0.0,0.27586206896551724,0.0,0.27586206896551724,0.6345355116007656,0.5247881078462091,0.9730941704035875,0.05263157894736842,0.9602312957281095,0.6395609193603815,,0.6300919055938721,331.0
C0→C18,脑电情绪识别分析→神经刺激同步递送,45,31,0.6268555521965027,0.657821536064148,0.3842278718948364,0.5563016533851624,0.0,0.0,1.0,0.7866057781540008,0.5368834240869825,0.37767117331904376,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.4388355866595219,0.9751098096632503,0.0,0.9875549048316252,0.6144260017310323,,0.5980284214019775,1322.0
C0→C19,脑电情绪识别分析→脑机接口交互控制,45,53,0.6914980411529541,0.6843142509460449,0.3407357931137085,0.5721826950709025,0.008620689655172414,0.01652892561983471,0.972027972027972,0.7866057781540008,0.7533341408009894,0.48337031723388535,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.4916851586169427,0.7592997811816192,0.0,0.8796498905908097,0.6151290869790849,,0.653664231300354,1289.0
